FID,Submarket,Market
0,Albany,Albany
1,Columbia,Albany
2,Fulton,Albany
3,Greene,Albany
4,Montgomery,Albany
5,Rensselaer,Albany
6,Saratoga,Albany
7,Schenectady,Albany
8,Schoharie,Albany
9,Warren,Albany
10,Airport,Albuquerque
11,Downtown,Albuquerque
12,Mesa del Sol,Albuquerque
13,North I-25,Albuquerque
14,North Valley,Albuquerque
15,NE Heights,Albuquerque
16,Rio Rancho,Albuquerque
17,SE Heights,Albuquerque
18,South I-25,Albuquerque
19,Valencia County,Albuquerque
20,West Mesa,Albuquerque
21,Airport/South Atlanta,Atlanta
22,Central Atlanta,Atlanta
23,Chattahoochee,Atlanta
24,I-20 West,Atlanta
25,Morgan County County,Atlanta
26,North Central San Antonio/GA 400 Corrido,Atlanta
27,Northeast/I-85,Atlanta
28,Northwest/I-75,Atlanta
29,Snapfinger,Atlanta
30,Stone Mountain,Atlanta
31,Central,Austin
32,Far North,Austin
33,North,Austin
34,Northeast,Austin
35,Northwest,Austin
36,South,Austin
37,Southwest,Austin
38,Annapolis,Baltimore
39,Baltimore City,Baltimore
40,Baltimore County East,Baltimore
41,Baltimore Southwest,Baltimore
42,Balt/ Washington Corridor,Baltimore
43,Harford/Cecil County,Baltimore
44,Hunt Valley/Towson,Baltimore
45,Outer North West Baltimore,Baltimore
46,Owings Mills/Reisterstown Rd,Baltimore
47,Queen Anne County,Baltimore
48,Southern Anne Arundel County,Baltimore
49,Central,Birmingham
50,East,Birmingham
51,Northwest,Birmingham
52,Oxmoor,Birmingham
53,South,Birmingham
54,Southwest,Birmingham
55,St Clair County,Birmingham
56,Boston,Boston
57,Cambridge,Boston
58,Close-In Suburbs North,Boston
59,Framingham - Natick,Boston
60,Route 128-North,Boston
61,Route 128-South,Boston
62,Route 128-West,Boston
63,Route 3 - North,Boston
64,Route 495-South,Boston
65,Route 495 Mass Pike West,Boston
66,Route 495 Route 2 West,Boston
67,C,Buffalo
68,E,Buffalo
69,N,Buffalo
70,S,Buffalo
71,Charleston,Charleston
72,East Cooper,Charleston
73,Hanahan,Charleston
74,Hwy 52 North,Charleston
75,I-26 North,Charleston
76,North Charleston/Ladson,Charleston
77,West Ashley,Charleston
78,Central,Charlotte
79,East,Charlotte
80,North,Charlotte
81,Northeast,Charlotte
82,Northwest,Charlotte
83,Southeast,Charlotte
84,Southwest,Charlotte
85,West,Charlotte
86,Central Kane & DuPage County,Chicago
87,City North,Chicago
88,City South,Chicago
89,Far Southwest Suburbs,Chicago
90,Far West Suburbs,Chicago
91,Northwest Indiana,Chicago
92,Joliet Area,Chicago
93,Lake County,Chicago
94,McHenry County,Chicago
95,Near West Suburbs,Chicago
96,North DuPage County,Chicago
97,North Kane County,Chicago
98,Northeast Cook County,Chicago
99,Northwest Cook County,Chicago
100,O'Hare,Chicago
101,South Suburbs,Chicago
102,Southwest Suburbs,Chicago
103,West Suburbs,Chicago
104,Central,Cincinnati
105,Northeast,Cincinnati
106,Northern Kentucky,Cincinnati
107,Northwest,Cincinnati
108,Downtown,Cleveland
109,East,Cleveland
110,Geauga West,Cleveland
111,Lake County West,Cleveland
112,Northeast,Cleveland
113,South,Cleveland
114,Southeast,Cleveland
115,Southwest,Cleveland
116,Northwest,Cleveland
117,CBD,Colorado Springs
118,Central,Colorado Springs
119,East,Colorado Springs
120,Falcon,Colorado Springs
121,Fountain/Security/Widefield,Colorado Springs
122,Greater Downtown,Colorado Springs
123,Northeast,Colorado Springs
124,Northwest,Colorado Springs
125,Southeast,Colorado Springs
126,Southwest,Colorado Springs
127,Tri-Lakes,Colorado Springs
128,West Side/Manitou,Colorado Springs
129,Calhoun,Columbia
130,Cayce-West Columbia,Columbia
131,Dutch Fork,Columbia
132,Fairfield,Columbia
133,Kershaw,Columbia
