Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q
CBRE,2021,Q,1,Savannah,Savannah Market,,Overall,77228420.0,0.033,762012.0,8510808.0,5.39,,
CBRE,2021,Q,2,Savannah,Savannah Market,,Overall,79163460.0,0.035,2679277.0,9137976.0,5.4,1935040.0,
CBRE,2021,Q,2,Tri Valley,Dublin,,Industrial,1316832.0,0.023,0.0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Dublin,,Warehouse,1266192.0,0.024,0.0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Dublin,,Manufacturing,50640.0,0.0,0.0,,0.95,,
CBRE,2021,Q,2,Tri Valley,Livermore,,Industrial,15168365.0,0.062,-33723.0,,0.91,,
CBRE,2021,Q,2,Tri Valley,Livermore,,Warehouse,12554839.0,0.07,-62052.0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Livermore,,Manufacturing,2613526.0,0.025,28329.0,,0.95,,
CBRE,2021,Q,2,Tri Valley,Pleasanton,,Industrial,2114693.0,0.17,0.0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Pleasanton,,Warehouse,1921578.0,0.187,0.0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Pleasanton,,Manufacturing,193115.0,0.0,0.0,,0.95,,
CBRE,2021,Q,2,Tri Valley,San Ramon,,Industrial,914449.0,0.041,-31748.0,,1.5,,
CBRE,2021,Q,2,Tri Valley,San Ramon,,Warehouse,914449.0,0.041,-31748.0,,1.5,,
CBRE,2021,Q,2,Tri Valley,San Ramon,,Manufacturing,0.0,0.0,0.0,,0.0,,
CBRE,2021,Q,2,Tri Valley,Tri-Valley Industrial Market,,Industrial,19514339.0,0.07,-65471.0,,0.94,,
CBRE,2021,Q,2,Tri Valley,Tri-Valley Industrial Market,,Warehouse,16657058.0,0.079,-93800.0,,0.94,,
CBRE,2021,Q,2,Tri Valley,Tri-Valley Industrial Market,,Manufacturing & Special,2857281.0,0.023,28329.0,,0.95,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Industrial,5647590.0,0.059,-146965.0,,1.36,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Warehouse Class A,3997831.0,0.07,-146965.0,,1.41,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Warehouse Class B,1642315.0,0.033,0.0,,1.23,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Manufacturing,7444.0,0.0,0.0,,1.4,,
