Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2024 Q4,Albuquerque,Airport,,Industrial,1113585.0,0.07,-3508.0,0.0,10.81,0.0,
2024 Q4,Albuquerque,Downtown,,Industrial,3287932.0,0.017,-11691.0,0.0,8.85,0.0,
2024 Q4,Albuquerque,Mesa del Sol,,Industrial,693896.0,0.0,0.0,109346.0,0.0,0.0,
2024 Q4,Albuquerque,NE Heights,,Industrial,482381.0,0.002,0.0,0.0,9.0,0.0,
2024 Q4,Albuquerque,North 1-25,,Industrial,16733539.0,0.037,10027.0,90039.0,9.24,65000.0,
2024 Q4,Albuquerque,North Valley,,Industrial,2599515.0,0.011,0.0,0.0,10.79,0.0,
2024 Q4,Albuquerque,Rio Rancho,,Industrial,6539789.0,0.002,-15000.0,0.0,11.61,0.0,
2024 Q4,Albuquerque,SE Heights,,Industrial,1511743.0,0.029,-30083.0,0.0,11.41,0.0,
2024 Q4,Albuquerque,South 1-25,,Industrial,3106520.0,0.07,53372.0,47000.0,10.3,0.0,
2024 Q4,Albuquerque,Valencia County,,Industrial,3234118.0,0.091,0.0,0.0,8.84,0.0,
2024 Q4,Albuquerque,West Mesa,,Industrial,7897057.0,0.023,-11591.0,0.0,11.33,86000.0,
2024 Q4,Albuquerque,Metro Total,,Industrial,47135075.0,0.033,-8474.0,246385.0,9.85,151000.0,
2024 Q4,Atlanta,Central Atlanta,,Industrial,7129348.0,0.078,-41030.0,,10.4,,
2024 Q4,Atlanta,Chattahoochee,,Industrial,14933989.0,0.056,-6928.0,220863.0,9.94,,
2024 Q4,Atlanta,Northwest/1-75,,Industrial,82982511.0,0.124,1520352.0,1104300.0,6.76,224248.0,
2024 Q4,Atlanta,Central/GA 400,,Industrial,25534412.0,0.041,66610.0,381169.0,9.1,,
2024 Q4,Atlanta,Northeast/1-85,,Industrial,214148946.0,0.094,2194340.0,1709209.0,7.3,1144379.0,
2024 Q4,Atlanta,Stone Mountain,,Industrial,27996533.0,0.041,-184553.0,,6.5,,
2024 Q4,Atlanta,Airport,,Industrial,85044174.0,0.064,-141572.0,733526.0,7.49,,
2024 Q4,Atlanta,Southeast/1-75,,Industrial,78723932.0,0.105,-206355.0,1853945.0,6.89,3097738.0,
2024 Q4,Atlanta,Southwest/1-85,,Industrial,64581152.0,0.076,989565.0,170000.0,7.36,1231200.0,
2024 Q4,Atlanta,1-20 East,,Industrial,42661135.0,0.079,311466.0,1729595.0,6.46,,
2024 Q4,Atlanta,1-20 West,,Industrial,109857222.0,0.067,689175.0,1221668.0,6.57,367360.0,
2024 Q4,Atlanta,ATLANTA,,WAREHOUSE/DISTRIBUTION,626218036.0,0.091,5269852.0,9124275.0,6.72,6064925.0,
2024 Q4,Atlanta,ATLANTA,,SHALLOW BAY,88432450.0,0.054,-200834.0,,7.09,,
2024 Q4,Atlanta,ATLANTA,,FLEX,38942868.0,0.051,122052.0,,11.25,,
2024 Q4,Atlanta,ATLANTA,,Industrial,753593354.0,0.084,5191070.0,9124275.0,7.32,6064925.0,
2024 Q4,Austin,Bastrop County,,Total Industrial,605133.0,0.031,0.0,0.0,6.0,,
2024 Q4,Austin,Caldwell County,,Total Industrial,750476.0,0.22,0.0,0.0,,,
2024 Q4,Austin,Cedar Park,,Total Industrial,5178027.0,0.136,-47138.0,229977.0,17.74,0.0,
2024 Q4,Austin,Central,,Total Industrial,1408670.0,0.055,1656.0,0.0,18.34,0.0,
2024 Q4,Austin,East,,Total Industrial,3525085.0,0.084,29312.0,2373921.0,16.8,0.0,
2024 Q4,Austin,Far North,,Total Industrial,7330619.0,0.238,194743.0,535571.0,14.16,31304.0,
2024 Q4,Austin,Far Northeast,,Total Industrial,3024053.0,0.26,30500.0,1408457.0,10.5,0.0,
2024 Q4,Austin,Hays County,,Total Industrial,12384055.0,0.149,315403.0,1355688.0,11.79,1283551.0,
2024 Q4,Austin,North,,Total Industrial,14968134.0,0.079,431189.0,0.0,19.87,0.0,
2024 Q4,Austin,Northeast,,Total Industrial,21439953.0,0.108,34686.0,1420036.0,14.06,771893.0,
2024 Q4,Austin,Northwest,,Total Industrial,315182.0,0.051,6040.0,0.0,17.0,0.0,
2024 Q4,Austin,Round Rock,,Total Industrial,5642328.0,0.142,140200.0,564126.0,14.39,310689.0,
2024 Q4,Austin,South,,Total Industrial,2403903.0,0.037,101284.0,0.0,17.33,0.0,
2024 Q4,Austin,Southeast,,Total Industrial,18258395.0,0.112,1242428.0,874043.0,11.68,820870.0,
2024 Q4,Austin,Southwest,,Total Industrial,901568.0,0.055,1462.0,269959.0,22.91,0.0,
2024 Q4,Austin,Total,,Total Industrial,98135581.0,0.124,2481765.0,9031778.0,14.25,3218307.0,
2024 Q4,Baltimore,Annapolis,,Warehouse,262548.0,0.012,-3100.0,,,,
2024 Q4,Baltimore,Baltimore City,,Warehouse,29149171.0,0.069,-108992.0,,10.35,,
2024 Q4,Baltimore,Baltimore County East,,Warehouse,31807287.0,0.052,1455960.0,806243.0,10.29,,
2024 Q4,Baltimore,Baltimore Southwest,,Warehouse,7403192.0,0.179,6410.0,,10.23,,
2024 Q4,Baltimore,Balt/Washington Corridor,,Warehouse,50135519.0,0.074,398691.0,520022.0,13.21,,
2024 Q4,Baltimore,Harford/Cecil County,,Warehouse,40100002.0,0.096,69934.0,255362.0,8.34,,
2024 Q4,Baltimore,Hunt Valley/Towson,,Warehouse,2892004.0,0.1,8400.0,,11.03,,
2024 Q4,Baltimore,Owings Mills/Reisterstown Rd,,Warehouse,706368.0,0.0,,,,,
2024 Q4,Baltimore,Total,,Warehouse,162456091.0,0.079,1827303.0,1581627.0,10.77,,
2024 Q4,Baltimore,Annapolis,,Flex,1144477.0,0.032,3587.0,,18.0,,
2024 Q4,Baltimore,Baltimore City,,Flex,2758429.0,0.065,5750.0,,11.01,,
2024 Q4,Baltimore,Baltimore County East,,Flex,2973500.0,0.078,5204.0,,10.72,,
2024 Q4,Baltimore,Baltimore Southwest,,Flex,3507704.0,0.088,53605.0,,11.55,,
2024 Q4,Baltimore,Balt/Washington Corridor,,Flex,14620448.0,0.05,102311.0,,14.02,,
2024 Q4,Baltimore,Harford/Cecil County,,Flex,1798042.0,0.046,9900.0,,11.26,,
2024 Q4,Baltimore,Hunt Valley/Towson,,Flex,3555290.0,0.027,44397.0,,11.31,,
2024 Q4,Baltimore,Owings Mills/Reisterstown Rd,,Flex,1930397.0,0.112,34328.0,,11.96,,
2024 Q4,Baltimore,Total,,Flex,32288287.0,0.059,259082.0,,12.71,,
2024 Q4,Baltimore,Annapolis,,Overall,1407025.0,0.029,487.0,,18.0,,
2024 Q4,Baltimore,Baltimore City,,Overall,31907600.0,0.068,-103242.0,,10.38,,
2024 Q4,Baltimore,Baltimore County East,,Overall,34780787.0,0.054,1461164.0,806243.0,10.32,,
2024 Q4,Baltimore,Baltimore Southwest,,Overall,10910896.0,0.15,60015.0,,10.4,,
2024 Q4,Baltimore,Balt/Washington Corridor,,Overall,64755967.0,0.069,501002.0,520022.0,13.3,,
2024 Q4,Baltimore,Harford/Cecil County,,Overall,41898044.0,0.093,79834.0,255362.0,8.38,,
2024 Q4,Baltimore,Hunt Valley/Towson,,Overall,6447294.0,0.06,52797.0,,11.07,,
2024 Q4,Baltimore,Owings Mills/Reisterstown Rd,,Overall,2636765.0,0.082,34328.0,,11.96,,
2024 Q4,Baltimore,Total,,Overall,194744378.0,0.075,2086385.0,1581627.0,10.92,,
2024 Q4,Boise,Airport,,Total Industrial,7435544.0,0.158,449962.0,,0.86,1087981.0,
2024 Q4,Boise,Bench,,Total Industrial,1894698.0,0.002,140192.0,,0.88,,
2024 Q4,Boise,Caldwell,,Total Industrial,5645480.0,0.112,126130.0,,0.81,410880.0,
2024 Q4,Boise,Downtown,,Total Industrial,621267.0,0.22,-26075.0,,0.79,,
2024 Q4,Boise,Eagle,,Total Industrial,257357.0,,,1.42,,,
2024 Q4,Boise,Kuna,,Total Industrial,203390.0,,,,,,
2024 Q4,Boise,Meridian,,Total Industrial,6090379.0,0.002,47919.0,207704.0,1.21,,
2024 Q4,Boise,Middleton,,Total Industrial,265608.0,,,,,,
2024 Q4,Boise,Nampa,,Total Industrial,14361254.0,0.113,1175283.0,340848.0,0.82,1190108.0,
2024 Q4,Boise,North Boise,,Total Industrial,1704516.0,0.005,-2890.0,,0.91,,
2024 Q4,Boise,South Meridian,,Total Industrial,876649.0,,10004.0,,,,
2024 Q4,Boise,Southeast,,Total Industrial,4287732.0,0.004,31974.0,,0.8,,
2024 Q4,Boise,Southwest,,Total Industrial,2369799.0,0.01,88997.0,88140.0,1.01,,
2024 Q4,Boise,Star,,Total Industrial,58076.0,,,,,,
2024 Q4,Boise,West,,Total Industrial,3572338.0,0.029,-42803.0,,1.04,,
2024 Q4,Boise,West Canyon,,Total Industrial,1089102.0,,,,,,
2024 Q4,Boise,Market Total,,Total Industrial,50958659.0,0.074,1998693.0,636692.0,0.84,2688969.0,
2024 Q4,Boston,Urban,,Industrial,14285885.0,0.05,34476.0,,26.49,,
2024 Q4,Boston,Metro North,CloseIn -Suburbs North,Industrial,18885209.0,0.062,165943.0,,28.74,,
2024 Q4,Boston,Metro North,Route 128-North,Industrial,33690823.0,0.075,202622.0,,20.32,,
2024 Q4,Boston,Metro North,Route 495 Northeast,Industrial,24361246.0,0.042,-75221.0,,16.89,,
2024 Q4,Boston,Metro North,Route 3 - North,Industrial,18538164.0,0.077,-19050.0,,16.42,,
2024 Q4,Boston,Metro North,Total,Industrial,95475442.0,0.064,274294.0,,20.92,,
2024 Q4,Boston,Metro South,Route 128-South,Industrial,45216582.0,0.066,-147291.0,,15.14,,
2024 Q4,Boston,Metro South,Route 495-South,Industrial,72532767.0,0.097,130265.0,,13.09,350000.0,
2024 Q4,Boston,Metro South,Total,Industrial,117749349.0,0.085,-17026.0,,13.68,350000.0,
2024 Q4,Boston,Metro West,Route 128-West,Industrial,6312001.0,0.041,-41408.0,,28.27,,
2024 Q4,Boston,Metro West,Framingham - Natick,Industrial,4528744.0,0.021,-10050.0,,13.19,,
