Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q,LocationID,Prev_Year,Prev_Period_Type,Prev_Period_Number,Prev_Inventory_SF,Prev_Vacancy_Q,Prev_Asking_Rent_Q,Prev_Net_Absorption_Q,Quarter_Gap,Rent_Pct_Change,Inventory_Pct_Change,Vacancy_Pct_Change,Net_Absorption_Change
CBRE,2023,Q,2,Albuquerque,Airport,N/A,Industrial,1111668.0,0.017,-7168.0,,11.5,,,Albuquerque_Airport_N/A_Industrial,,,,,,,,,,,,
CBRE,2023,Q,4,Albuquerque,Airport,N/A,Industrial,1111668.0,0.094,-92500.0,0.0,11.0,,,Albuquerque_Airport_N/A_Industrial,2023,Q,2,1111668.0,0.017,11.5,-7168.0,2,-4.0,0.0,453.0,-8533200.0
CBRE,2024,Q,1,Albuquerque,Airport,N/A,Industrial,1113418.0,0.068,28500.0,,11.38,,,Albuquerque_Airport_N/A_Industrial,2023,Q,4,1111668.0,0.094,11.0,-92500.0,1,3.0,0.0,-28.000000000000004,12100000.0
CBRE,2024,Q,3,Albuquerque,Airport,N/A,Industrial,1113585.0,0.067,21233.0,,10.81,,,Albuquerque_Airport_N/A_Industrial,2024,Q,1,1113418.0,0.068,11.38,28500.0,2,-5.0,0.0,-1.0,-726700.0
CBRE,2024,Q,4,Albuquerque,Airport,N/A,Industrial,1113585.0,0.07,-3508.0,0.0,10.81,0.0,,Albuquerque_Airport_N/A_Industrial,2024,Q,3,1113585.0,0.067,10.81,21233.0,1,0.0,0.0,4.0,-2474100.0
CBRE,2025,Q,1,Albuquerque,Airport,N/A,Industrial,1113585.0,0.076,-7000.0,21000.0,10.56,0.0,,Albuquerque_Airport_N/A_Industrial,2024,Q,4,1113585.0,0.07,10.81,-3508.0,1,-2.0,0.0,9.0,-349200.0
CBRE,2025,Q,2,Albuquerque,Airport,N/A,Industrial,1113585.0,0.073,3507.0,,10.09,,,Albuquerque_Airport_N/A_Industrial,2025,Q,1,1113585.0,0.076,10.56,-7000.0,1,-4.0,0.0,-4.0,1050700.0
CBRE,2023,Q,2,Albuquerque,Downtown,N/A,Industrial,3287932.0,0.002,0.0,,10.0,,,Albuquerque_Downtown_N/A_Industrial,,,,,,,,,,,,
CBRE,2023,Q,4,Albuquerque,Downtown,N/A,Industrial,3287932.0,0.002,-5523.0,0.0,12.5,,,Albuquerque_Downtown_N/A_Industrial,2023,Q,2,3287932.0,0.002,10.0,0.0,2,25.0,0.0,0.0,-552300.0
CBRE,2024,Q,1,Albuquerque,Downtown,N/A,Industrial,3287932.0,0.007,-17252.0,,12.06,,,Albuquerque_Downtown_N/A_Industrial,2023,Q,4,3287932.0,0.002,12.5,-5523.0,1,-4.0,0.0,250.0,-1172900.0
