,FID,Submarket,Market,Market_Cleaned,Submarket_Cleaned,Market_Submarket_Cleaned
0,0,Albany,Albany,Albany,Albany,Albany_Albany
1,1,Columbia,Albany,Albany,Columbia,Albany_Columbia
2,2,Fulton,Albany,Albany,Fulton,Albany_Fulton
3,3,Greene,Albany,Albany,Greene,Albany_Greene
4,4,Montgomery,Albany,Albany,Montgomery,Albany_Montgomery
5,5,Rensselaer,Albany,Albany,Rensselaer,Albany_Rensselaer
6,6,Saratoga,Albany,Albany,Saratoga,Albany_Saratoga
7,7,Schenectady,Albany,Albany,Schenectady,Albany_Schenectady
8,8,Schoharie,Albany,Albany,Schoharie,Albany_Schoharie
9,9,Warren,Albany,Albany,Warren,Albany_Warren
10,10,Airport,Albuquerque,Albuquerque,Airport,Albuquerque_Airport
11,11,Downtown,Albuquerque,Albuquerque,Downtown,Albuquerque_Downtown
12,12,Mesa del Sol,Albuquerque,Albuquerque,Mesa del Sol,Albuquerque_Mesa del Sol
13,13,North I-25,Albuquerque,Albuquerque,North I-25,Albuquerque_North I-25
14,14,North Valley,Albuquerque,Albuquerque,North Valley,Albuquerque_North Valley
15,15,NE Heights,Albuquerque,Albuquerque,NE Heights,Albuquerque_NE Heights
16,16,Rio Rancho,Albuquerque,Albuquerque,Rio Rancho,Albuquerque_Rio Rancho
17,17,SE Heights,Albuquerque,Albuquerque,SE Heights,Albuquerque_SE Heights
18,18,South I-25,Albuquerque,Albuquerque,South I-25,Albuquerque_South I-25
19,19,Valencia County,Albuquerque,Albuquerque,Valencia County,Albuquerque_Valencia County
20,20,West Mesa,Albuquerque,Albuquerque,West Mesa,Albuquerque_West Mesa
21,21,Airport/South Atlanta,Atlanta,Atlanta,Airport/South Atlanta,Atlanta_Airport/South Atlanta
22,22,Central Atlanta,Atlanta,Atlanta,Central Atlanta,Atlanta_Central Atlanta
23,23,Chattahoochee,Atlanta,Atlanta,Chattahoochee,Atlanta_Chattahoochee
24,24,I-20 West,Atlanta,Atlanta,I-20 West,Atlanta_I-20 West
25,25,Morgan County County,Atlanta,Atlanta,Morgan County County,Atlanta_Morgan County County
26,26,North Central San Antonio/GA 400 Corrido,Atlanta,Atlanta,North Central San Antonio/GA 400 Corrido,Atlanta_North Central San Antonio/GA 400 Corrido
27,27,Northeast/I-85,Atlanta,Atlanta,Northeast/I-85,Atlanta_Northeast/I-85
28,28,Northwest/I-75,Atlanta,Atlanta,Northwest/I-75,Atlanta_Northwest/I-75
29,29,Snapfinger,Atlanta,Atlanta,Snapfinger,Atlanta_Snapfinger
30,30,Stone Mountain,Atlanta,Atlanta,Stone Mountain,Atlanta_Stone Mountain
31,31,Central,Austin,Austin,Central,Austin_Central
32,32,Far North,Austin,Austin,Far North,Austin_Far North
33,33,North,Austin,Austin,North,Austin_North
