primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Annapolis,,,1407025.0,0.027,2066.0,0.0,17.85,,
Baltimore City,,,31482689.0,0.078,-316074.0,20503.0,9.75,,
Baltimore County East,,,33673432.0,0.067,-492595.0,391283.0,10.55,,
Baltimore Southwest,,,10913492.0,0.136,148141.0,0.0,10.68,,
Balt/Washington Corridor,,,65188431.0,0.072,140922.0,471972.0,13.12,,
Harford/Cecil County,,,41877835.0,0.091,-147915.0,632926.0,8.02,,
Hunt Valley/Towson,,,6447294.0,0.048,31305.0,0.0,10.43,,
Owings Mills/Reisterstown Rd,,,2636765.0,0.077,-10900.0,0.0,11.49,,
Total,,,193626963.0,0.079,-645050.0,1516684.0,10.92,,
,,,75586445.0,0.191,183362.0,6423055.0,12.7,2085130.0,
,,,4384690.0,0.097,99253.0,172360.0,11.79,163472.0,
,,,23270728.0,0.128,-236439.0,0.0,18.79,0.0,
,,,22796.0,0.159,6596.0,0.0,17.5,0.0,
,,,103264659.0,0.172,52772.0,6595415.0,14.09,2248602.0,
Atlanta,,All,760545504.0,0.086,-234890.0,4882586.0,7.21,4299683.0,
Atlanta,,Warehouse/Distribution,632900989.0,0.092,47686.0,4882586.0,7.05,4299683.0,
Atlanta,,Shallow Bay,88693350.0,0.058,-158662.0,0.0,8.2,0.0,
Atlanta,,Flex,38951165.0,0.051,-123863.0,0.0,11.76,0.0,
Atlanta,Central Atlanta,Warehouse/Distribution,7144537.0,0.065,-26052.0,626176.0,12.31,0.0,
Atlanta,Chattahoochee,Warehouse/Distribution,15169480.0,0.042,-30171.0,0.0,9.22,0.0,
Atlanta,Northwest/I-75,Warehouse/Distribution,83774730.0,0.111,105827.0,633000.0,7.69,308880.0,
Atlanta,NCentral/GA400,Warehouse/Distribution,25849424.0,0.051,-18708.0,344342.0,12.54,225060.0,
Atlanta,Northeast/I-85,Warehouse/Distribution,215350854.0,0.079,1663721.0,1005811.0,7.53,1020603.0,
Atlanta,Stone Mountain,Warehouse/Distribution,27866369.0,0.046,99160.0,0.0,8.93,0.0,
Atlanta,Airport,Warehouse/Distribution,85818526.0,0.074,33749.0,214170.0,6.9,733526.0,
Atlanta,Southeast/I-75,Warehouse/Distribution,79699061.0,0.133,-374654.0,1044887.0,6.13,450024.0,
Atlanta,Southwest/I-85,Warehouse/Distribution,64829781.0,0.097,-1494069.0,667350.0,6.75,0.0,
Atlanta,I-20 East,Warehouse/Distribution,44402733.0,0.107,-414201.0,0.0,7.45,1166850.0,
Atlanta,I-20 West,Warehouse/Distribution,110639809.0,0.068,220559.0,346850.0,6.85,394740.0,
Close-In Suburbs North,,,19200179.0,0.09,27212.0,6621.0,28.44,,
Route 128 - North,,,34044243.0,0.076,482443.0,369100.0,20.02,,
Route 495 - Northeast,,,24568977.0,0.06,-88573.0,-233329.0,16.05,,
Route 3 - North,,,18933469.0,0.126,266858.0,71300.0,16.87,,
Central Broward,,,18576151.0,0.0442,21157.0,0.0,16.88,0.0,
Coral Springs,,,9274627.0,0.0417,-23921.0,0.0,14.77,0.0,
Northeast Broward,,,11596543.0,0.0689,-88422.0,0.0,16.7,0.0,
Pompano/Lauderdale,,,25235616.0,0.0464,-53026.0,763969.0,15.65,0.0,
Southeast Broward,,,17039343.0,0.0488,136770.0,283900.0,15.68,42000.0,
Southwest Broward,,,17763709.0,0.0249,6988.0,281000.0,17.39,0.0,
Sunrise,,,5806974.0,0.0467,-30830.0,0.0,15.58,0.0,
,,,290629973.0,0.032,-889749.0,687307.0,10.08,0.0,
,,,238404336.0,0.047,-93677.0,2101873.0,8.82,250414.0,
,,,154589032.0,0.067,-109406.0,1170164.0,8.52,470711.0,
,,,186993439.0,0.068,424757.0,1083028.0,8.96,681000.0,
,,,124992143.0,0.089,1402351.0,0.0,7.34,593565.0,
,,,171827497.0,0.052,1420702.0,4670940.0,7.99,0.0,
,,,1167436420.0,0.055,2154978.0,9713312.0,8.66,1995690.0,
,,,101925554.0,0.078,-502902.0,3541700.0,7.12,,
