primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Dublin,,Industrial,1316832,0.023,0,,0.90,,
Dublin,,Warehouse,1266192,0.024,0,,0.90,,
Dublin,,Manufacturing,50640,0.0,0,,0.95,,
Livermore,,Industrial,15168365,0.062,-33723,,0.91,,
Livermore,,Warehouse,12554839,0.07,-62052,,0.90,,
Livermore,,Manufacturing,2613526,0.025,28329,,0.95,,
Pleasanton,,Industrial,2114693,0.17,0,,0.90,,
Pleasanton,,Warehouse,1921578,0.187,0,,0.90,,
Pleasanton,,Manufacturing,193115,0.0,0,,0.95,,
San Ramon,,Industrial,914449,0.041,-31748,,1.50,,
San Ramon,,Warehouse,914449,0.041,-31748,,1.50,,
San Ramon,,Manufacturing,0,0.0,0,,0.00,,
Tri-Valley Industrial Market,,Industrial,19514339,0.07,-65471,,0.94,,
Tri-Valley Industrial Market,,Warehouse,16657058,0.079,-93800,,0.94,,
Tri-Valley Industrial Market,,Manufacturing & Special,2857281,0.023,28329,,0.95,,
