primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Bartlesville,,Industrial,2982112,0.036,,0,3.32,,
CBD,,Industrial,1666790,0.102,-5456,0,5.11,,
East,,Industrial,4506808,0.007,162245,31500,5.46,137500,
Mayes County,,Industrial,4205354,0.002,,0,6.65,,
Midtown,,Industrial,111996,0.071,,0,5.74,,
Muskogee County,,Industrial,6193351,0.054,10192,0,2.37,,
North Central,,Industrial,6632927,0.047,-16335,0,4.96,,
Northeast,,Industrial,38554559,0.022,99925,684616,5.64,19322,
Northwest,,Industrial,6228873,0.014,56516,0,4.62,23784,
South,,Industrial,2857980,0.008,0,35000,6.37,,
South Central,,Industrial,13553669,0.043,199279,9000,6.55,,
Southeast,,Industrial,16246062,0.018,42726,163000,6.44,25070,
Southwest,,Industrial,17858400,0.017,393826,14400,5.88,568000,
Outlying Market Area,,Industrial,6263889,0.033,,0,2.99,,
Tulsa,,Industrial,127862770,0.026,942918,937516,5.37,773676,
