primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
CBD,,Industrial,10000,0.0,,,0.0,,
Central,,Industrial,2823295,0.038,,207000,9.46,,
East,,Industrial,2733333,0.004,,,9.31,,
Falcon,,Industrial,43475,0.0,,,31.5,,
Fountain/Security/Widefield,,Industrial,1585616,0.128,,,7.95,,
Greater Downtown,,Industrial,1612747,0.01,,,7.88,,
Northeast,,Industrial,2620672,0.044,,,12.56,,
Northwest,,Industrial,8020249,0.027,,,10.05,,
Southeast,,Industrial,12060490,0.033,,20000,9.01,,
Southwest,,Industrial,1162639,0.0,,,,,
Tri-Lakes,,Industrial,270563,0.06,,12500,8.99,,
West Side/Manitou,,Industrial,718512,0.006,,,12.00,,
Colorado Springs,,Industrial,33670591,0.032,,239500,9.73,,
