primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Bartlesville,,Industrial,2980433,0.034,5000,,,3.32,,
CBD,,Industrial,1670724,0.102,40,,,4.81,,
East,,Industrial,4599748,0.011,11046,,6.53,31500,
Mayes County,,Industrial,4205354,0.002,,,,6.65,,
Midtown,,Industrial,125284,0.063,13288,,,5.74,,
Muskogee County,,Industrial,6193351,0.054,,,,2.34,,
North Central,,Industrial,6665075,0.051,37005,,,4.75,,
Northeast,,Industrial,38573561,0.023,92422,684616,5.29,57600,
Northwest,,Industrial,6073873,0.018,-2082,,,4.90,,
South,,Industrial,2950615,0.024,-3964,,,6.61,35000,
South Central,,Industrial,13460211,0.041,111766,,,5.80,,
Southeast,,Industrial,16188706,0.02,-8159,169400,6.44,,
Southwest,,Industrial,17960095,0.022,-95951,,,5.05,,
Outlying Market Area,,Industrial,8392603,0.046,7400,,,2.73,,
Tulsa Total,,Industrial,130039633,0.029,167811,854016,5.17,124100,
