primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Annapolis,,Warehouse,498012,0.0,,,10.67,,
Baltimore City,,Warehouse,29033357,0.037,252405,753125,7.2,,
Baltimore County East,,Warehouse,27453973,0.018,2100531,558560,7.9,,
Baltimore Southwest,,Warehouse,7882346,0.079,-20741,,9.95,,
Balt/Washington Corridor,,Warehouse,49487213,0.021,814691,,10.95,,
Harford/Cecil County,,Warehouse,36520883,0.078,-116596,2396980,6.5,,
Hunt Valley/Towson,,Warehouse,3252054,0.086,-91410,,8.34,,
Owings Mills/Reisterstown Rd,,Warehouse,957106,0.016,,,10,,
Total,,Warehouse,155084944,0.041,2938880,3708665,7.98,,
Annapolis,,Flex,1116807,0.068,3390,,17.4,,
Baltimore City,,Flex,2488209,0.075,-5579,,7.57,,
Baltimore County East,,Flex,2581546,0.105,-45670,,8.32,,
Baltimore Southwest,,Flex,3260380,0.113,-19040,,11.79,,
Balt/Washington Corridor,,Flex,16236267,0.066,-146942,,13.87,,
Harford/Cecil County,,Flex,2076849,0.061,53490,,9.11,,
Hunt Valley/Towson,,Flex,3652149,0.077,13316,,10.92,,
Owings Mills/Reisterstown Rd,,Flex,1769795,0.126,-6924,,11.2,,
Total,,Flex,33182002,0.078,-153959,,11.94,,
Annapolis,,Overall,1614819,0.047,3390,,14.83,,
Baltimore City,,Overall,31521566,0.04,246826,753125,7.38,,
Baltimore County East,,Overall,30035519,0.025,2054861,558560,8.11,,
Baltimore Southwest,,Overall,11142726,0.089,-39781,,9.67,,
Balt/Washington Corridor,,Overall,65723480,0.032,667749,,12.41,,
Harford/Cecil County,,Overall,38597732,0.077,-63106,2396980,7.8,,
Hunt Valley/Towson,,Overall,6904203,0.082,-78094,,10.02,,
Owings Mills/Reisterstown Rd,,Overall,2726901,0.087,-6924,,11.2,,
Total,,Overall,188266946,0.048,2784921,3708665,9.14,,
