primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Airport,Airport East,Industrial,39748701,0.09,430115,5561881,6.13,,
Airport,Airport Central,Industrial,55946862,0.039,274511,,7.89,,
Airport,,Industrial,95695563,0.06,704626,5561881,6.91,,
Boulder,,Industrial,12555785,0.034,173411,,15.75,,
I-76 Corridor,,Industrial,15096439,0.27,5365,526992,6.29,,
Longmont,,Industrial,5345968,0.164,-5221,,15.17,,
North,,Industrial,12782540,0.066,143045,1059247,9.26,,
North Central,,Industrial,36269028,0.044,122230,,10.68,,
Northwest,,Industrial,17958028,0.065,157957,734356,13.31,,
South Central,,Industrial,15189366,0.01,119783,,9.83,,
Southeast,,Industrial,23225287,0.079,101128,777833,10.62,,
Southwest,,Industrial,9082269,0.02,65253,50000,12.3,,
West,,Industrial,11351372,0.012,-33339,,12.87,,
METRO TOTAL,,Industrial,264551645,0.065,1554398,8710309,8.66,,
