primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
CBD,,Industrial,51154947,0.031,-41574,,0.84,,
North,,Industrial,109113806,0.048,662465,7294609,0.76,191822,
Northeast,,Industrial,39076273,0.031,477937,2895230,0.76,673088,
Northwest,,Industrial,161402938,0.044,3085282,6276301,0.81,1465582,
Northwest,West Houston-North,Industrial,19117518,0.085,1951150,371260,0.76,,
Southeast,,Industrial,104401761,0.024,1068329,8437631,0.81,1281953,
South,,Industrial,33420948,0.022,-100564,1867614,0.76,,
Southwest,,Industrial,91313785,0.045,1022668,6761757,0.76,351680,
Southwest,West Houston-South,Industrial,6262199,0.122,200680,5756838,0.76,,
HOUSTON TOTAL,,Industrial,589884458,0.038,6174543,33533142,0.79,3964125,
