primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Bartlesville,,Industrial,2980433,0.034,,,3.02,,
CBD,,Industrial,1670724,0.08,36173,,5.39,,
East,,Industrial,4599748,0.005,28800,,5.87,,
Mayes County,,Industrial,4348771,0.022,61076,,6.65,150000,
Midtown,,Industrial,125284,,7929,,,,
Muskogee County,,Industrial,6161009,0.042,162070,12000,2.72,,
North Central,,Industrial,6676798,0.049,10963,,5.17,,
Northeast,,Industrial,39302097,0.042,141,78400,5.36,744277,
Northwest,,Industrial,6091383,0.025,-41789,,5.32,,
South,,Industrial,2952727,0.021,7750,40000,7.45,,
South Central,,Industrial,13455785,0.05,-78013,,5.48,,
Southeast,,Industrial,16334350,0.027,84468,,6.45,138000,
Southwest,,Industrial,17948901,0.02,58245,5500,5.85,18625,
Outlying Market Area,,Industrial,6428616,0.042,99960,,3.44,,
Total,,Industrial,129076626,0.035,437773,135900,5.25,1050902,
