primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Dallas,DFW Airport,Industrial,87597224,0.046,831072,3576554,,2177479,
Dallas,East Dallas,Industrial,49078422,0.134,1550441,10130690,,1580884,
Dallas,Northeast Dallas,Industrial,107836380,0.031,204896,2781257,,202131,
Dallas,Northwest Dallas,Industrial,118753368,0.04,226232,4852825,,1327281,
Dallas,South Dallas,Industrial,105390671,0.122,308400,15026612,,6618214,
Dallas,South Stemmons,Industrial,127650975,0.035,134192,602355,,636520,
Dallas,287 Corridor,Industrial,22081234,0.123,1053606,3110047,,1510479,
Dallas,Total,Industrial,618388274,0.063,4308839,40080340,,14052988,
Fort Worth,Great Southwest/Arlington,Industrial,118539471,0.025,468469,2236383,,298506,
Fort Worth,North Fort Worth,Industrial,116408826,0.061,3520496,15945682,,5098833,
Fort Worth,South Fort Worth,Industrial,81295614,0.063,552855,4609825,,1041300,
Fort Worth,Total,Industrial,316243911,0.048,4541820,22791890,,6438639,
DFW,Total,Industrial,934632185,0.058,8850659,62872230,,20491627,
DFW Airport,East DFW/Las Colinas,Industrial,63962504,0.057,676009,2783778,,2177479,
DFW Airport,West DFW/Grapevine,Industrial,23634720,0.015,155063,792776,,0,
East Dallas,Central East Dallas,Industrial,17138339,0.138,-44245,0,,0,
East Dallas,East Dallas/Mesquite,Industrial,26363898,0.097,1594686,3471412,,1580884,
East Dallas,Forney/Terrell,Industrial,5576185,0.3,0,6659278,,0,
Northeast Dallas,Allen/McKinney,Industrial,14726373,0.047,330536,1620960,,132710,
Northeast Dallas,Northeast Dallas/Garland,Industrial,50955053,0.016,-73705,500008,,0,
Northeast Dallas,Plano,Industrial,21219472,0.037,64085,0,,69421,
Northeast Dallas,Richardson,Industrial,17043504,0.06,-146642,359169,,0,
Northeast Dallas,Rockwall,Industrial,3891978,0,30622,301120,,0,
Northwest Dallas,Denton,Industrial,13909877,0.105,-114573,3990659,,227420,
Northwest Dallas,Lewisville,Industrial,34134635,0.047,526372,599812,,808921,
Northwest Dallas,Metropolitan/Addison,Industrial,19864799,0.031,-50303,0,,0,
Northwest Dallas,North Stemmons/Valwood,Industrial,48877613,0.015,-140802,0,,0,
Northwest Dallas,NW Dallas Outlying,Industrial,1966444,0.148,5538,262354,,290940,
South Dallas,Redbird Airport,Industrial,21816829,0.099,-155113,0,,1774247,
South Dallas,Southeast Dallas/I-45,Industrial,64636217,0.129,133344,15026612,,3614557,
South Dallas,Southwest Dallas/US 67,Industrial,18937625,0.125,330169,0,,1229410,
South Stemmons,East Hines North,Industrial,20178551,0.02,34175,0,,0,
South Stemmons,East Brookhollow,Industrial,7906312,0.026,-26077,0,,0,
South Stemmons,Eastern Lonestar/Turnpike,Industrial,32536137,0.056,-50589,0,,636520,
South Stemmons,North Trinity,Industrial,9704015,0.035,-10976,0,,0,
South Stemmons,West Hines North,Industrial,8874628,0.031,278303,0,,0,
South Stemmons,West Brookhollow,Industrial,40528422,0.03,-90943,0,,0,
South Stemmons,Western Lonestar/Turnpike,Industrial,7922910,0.028,299,602355,,0,
287 Corridor,Mansfield/Midlothian,Industrial,14250385,0.159,1053606,3110047,,1510479,
287 Corridor,Waxahachie/Ennis,Industrial,7830849,0.058,0,0,,0,
Great Southwest,Arlington,Industrial,24419314,0.04,-59435,1531043,,0,
Great Southwest,Lower Great Southwest,Industrial,39437345,0.022,-108607,0,,298506,
Great Southwest,Upper Great Southwest,Industrial,54682812,0.019,636511,705340,,0,
North Fort Worth,Meacham Field/Fossil Creek,Industrial,45320643,0.088,432718,1053709,,1590357,
North Fort Worth,Northeast Tarrant/Alliance,Industrial,66636655,0.046,3097278,12042574,,3508476,
North Fort Worth,West Tarrant,Industrial,4451528,0.003,-9500,2849399,,0,
South Fort Worth,Cleburne,Industrial,2108372,0.094,0,585143,,0,
South Fort Worth,East Fort Worth,Industrial,25728809,0.026,-13708,0,,0,
South Fort Worth,North Central Fort Worth,Industrial,11001474,0.009,-1128,0,,0,
South Fort Worth,South Central Fort Worth,Industrial,8219016,0.028,-5841,0,,0,
South Fort Worth,South Central Tarrant,Industrial,32294624,0.119,495920,3107272,,1041300,
South Fort Worth,Southwest Tarrant,Industrial,1943319,0.031,77612,917410,,0,
