primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Palo Alto,,Warehouse,1269247,0.02,0,,2.25,,
Palo Alto,,Manufacturing,1269247,0.02,0,,2.9,,
Mountain View/Los Altos,,Warehouse,1858307,0.033,8192,,2.15,,
Mountain View/Los Altos,,Manufacturing,1858307,0.033,8192,,2.99,,
Sunnyvale,,Warehouse,5869277,0.022,-9960,,2.85,,
Sunnyvale,,Manufacturing,5869277,0.022,-9960,,1.65,,
Santa Clara,,Warehouse,15910354,0.021,-96514,,1.76,,
Santa Clara,,Manufacturing,15910354,0.021,-96514,,1.57,,
West Valley,,Warehouse,1591717,0.014,8160,,2.2,,
West Valley,,Manufacturing,1591717,0.014,8160,,2.15,,
San Jose-Downtown/IBP,,Warehouse,12395703,0.028,-62156,,1.43,,
San Jose-Downtown/IBP,,Manufacturing,12395703,0.028,-62156,,1.53,,
San Jose - North,,Warehouse,10550101,0.016,2274,,1.41,,
San Jose - North,,Manufacturing,10550101,0.016,2274,,1.64,,
San Jose - South,,Warehouse,12777629,0.044,-41324,,1.3,,
San Jose - South,,Manufacturing,12777629,0.044,-41324,,1.49,,
Milpitas,,Warehouse,9657524,0.007,28870,,1.72,,
Milpitas,,Manufacturing,9657524,0.007,28870,,1.56,,
Fremont/Newark,,Warehouse,37078743,0.029,-451040,,1.41,,
Fremont/Newark,,Manufacturing,37078743,0.029,-451040,,1.6,,
Total,,Industrial,108958602,0.026,-613498,995307,1.57,,
Total,,Manufacturing,60687574,0.024,-193642,,1.74,,
Total,,Warehouse,48271028,0.028,-419856,,1.4,,
