primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Clay,,Overall,53492964,0.036,211487,1659475,4.94,,
Jackson,,Overall,105293343,0.022,882306,3293860,4.49,,
Johnson,,Overall,85605954,0.051,1183814,1549146,6.08,,
Platte,,Overall,16794343,0.010,46646,1077153,4.91,,
Wyandotte,,Overall,45934492,0.011,86663,40000,4.17,,
Cass,,Overall,4493695,0.205,192817,0,4.84,,
Clay,,Bulk Distribution,33265730,0.017,210338,1659475,4.58,,
Jackson,,Bulk Distribution,45484782,0.039,683792,3254860,3.98,,
Johnson,,Bulk Distribution,51199989,0.069,1050472,1549146,5.67,,
Platte,,Bulk Distribution,11499886,0.005,0,1077153,4.35,,
Wyandotte,,Bulk Distribution,17852030,0.003,18752,0,3.28,,
Cass,,Bulk Distribution,4493695,0.205,192817,0,4.84,,
Clay,,Modern Bulk Distribution,10133581,0.023,108595,1659475,5.48,,
Jackson,,Modern Bulk Distribution,10498038,0.031,463161,3254860,5.34,,
Johnson,,Modern Bulk Distribution,34127123,0.093,1049679,1549146,5.80,,
Platte,,Modern Bulk Distribution,8956247,0.000,0,1077153,4.59,,
Wyandotte,,Modern Bulk Distribution,7913191,0.000,0,0,,,
Cass,,Modern Bulk Distribution,4493695,0.205,192817,0,4.84,,
Metro,,Overall,311614791,0.033,2603733,7619634,5.13,,
Metro,,Bulk Distribution,163796112,0.042,2156171,7540634,4.76,,
Metro,,Modern Bulk Distribution,76121875,0.061,1814252,7540634,5.50,,
