primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Kenosha,,Industrial,46215983,0.075,341285,5423845,4.50,224000,
Milwaukee Downtown,,Industrial,11827396,0.049,,0,4.20,0,
Milwaukee North Central,,Industrial,12237532,0.037,-29860,0,3.70,0,
Milwaukee North Shore,,Industrial,5743081,0.048,62121,0,4.60,0,
Milwaukee Northwest,,Industrial,24188258,0.009,31809,740273,4.40,0,
Milwaukee South,,Industrial,34662531,0.045,122050,788499,6.10,0,
Milwaukee South Central,,Industrial,13276248,0.070,-112000,0,6.80,0,
Milwaukee West,,Industrial,13924905,0.071,-488096,81000,4.60,0,
Ozaukee,,Industrial,12099902,0.017,-7357,540868,5.40,0,
Racine,,Industrial,31070288,0.041,11400,1204142,7.60,401644,
Sheboygan,,Industrial,18810566,0.008,,255800,5.50,0,
Walworth,,Industrial,11474824,0.006,-39557,0,3.80,0,
Washington,,Industrial,22727852,0.014,156237,200000,5.51,351282,
Waukesha Northeast,,Industrial,22548572,0.007,87847,0,6.90,0,
Waukesha Northwest,,Industrial,20821261,0.020,115345,0,5.90,150002,
Waukesha Southeast,,Industrial,16124325,0.012,210087,358010,7.30,309474,
Waukesha Southwest,,Industrial,17351520,0.001,-1413,0,6.60,0,
TOTAL,,Industrial,337605392,0.034,459898,10520516,5.30,1436402,
