primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northeast,,Base Figures,49990936,0.029,127005,,0.82,,
Northwest,,Base Figures,39231357,0.036,-171598,293480,0.82,,
Southeast,,Base Figures,31333727,0.015,146341,,0.82,,
Southwest,,Base Figures,39028669,0.02,-65366,435107,0.85,,
Sunset Corridor,,Base Figures,32493262,0.015,5654,155500,0.85,,
Clark County,,Base Figures,27361280,0.039,32086,814306,0.82,,
Total,,Base Figures,219439231,0.026,74122,1698393,,,
Northeast,,Business Park Figures,22735371,0.031,-85030,,,,
Northwest,,Business Park Figures,10747786,0.06,-10282,,,,
Southeast,,Business Park Figures,7646262,0.007,-7306,,,,
Southwest,,Business Park Figures,17855320,0.028,19489,435107,,,
Sunset Corridor,,Business Park Figures,9649733,0.036,38373,,,,
Clark County,,Business Park Figures,12165859,0.056,-39436,,,,
Total,,Business Park Figures,80800331,0.036,-84192,435107,,,
