primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central/Airport,,,10686134,0.038,-87307,,1.01,,
Central/Airport,,Bulk,8125560,0.039,-101004,,0.99,,
Central/Airport,,Flex,2560574,0.036,13697,,1.11,,
East Valley,,,28138858,0.091,459957,,0.73,,
East Valley,,Bulk,28016171,0.092,459957,,0.73,,
East Valley,,Flex,122687,0,0,,NA,,
North Valley,,,26515088,0.018,219062,,0.85,,
North Valley,,Bulk,26286132,0.018,219062,,0.85,,
North Valley,,Flex,228956,0,0,,NA,,
South Reno,,,9789849,0.044,101618,,1.11,,
South Reno,,Bulk,7774858,0.052,66525,,1.07,,
South Reno,,Flex,2014991,0.012,35093,,1.40,,
Sparks,,,30583395,0.016,49616,,1.15,,
Sparks,,Bulk,27632143,0.016,41086,,1.13,,
Sparks,,Flex,2951252,0.011,8530,,1.24,,
West Reno,,,2624123,0.045,-117270,,1.07,,
West Reno,,Bulk,2215063,0.053,-117270,,1.07,,
West Reno,,Flex,409060,0.004,0,,1.00,,
Market Total,,,108337447,0.041,625676,,0.89,,
Market Total,,Bulk,100049927,0.043,568356,,0.83,,
Market Total,,Flex,8287520,0.018,57320,,1.21,,
