primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northgate/Natomas,,Distribution - Class A,12263154,0.125,,,0.80,,
Northgate/Natomas,,Distribution - Class B,1353222,0.037,,,0.67,,
Northgate/Natomas,,Light Industrial - Class A,2027860,0.013,,,0.83,,
Northgate/Natomas,,Light Industrial - Class B,3323092,0.032,,,0.73,,
Northgate/Natomas,,Flex/High Tech / R&D,2921479,0.067,,,0.86,,
Northgate/Natomas,,Special Purpose,818350,0,,,,,
Northgate/Natomas,,Incubator,486628,0.041,,,0.88,,
Northgate/Natomas,,,23193785,0.083,,,0.80,,
Richards,,Distribution - Class B,1152769,0,,,0.58,,
Richards,,Light Industrial - Class A,204105,0.066,,,,,
Richards,,Light Industrial - Class B,1475375,0.007,,,0.82,,
Richards,,Flex/High Tech / R&D,372168,0.013,,,0.65,,
Richards,,Special Purpose,1515983,0.042,,,0.78,,
Richards,,Incubator,12000,0,,,,,
Richards,,,4732400,0.02,,,0.72,,
Downtown/Midtown/East Sac,,Light Industrial - Class B,2359648,0.025,,,1.17,,
Downtown/Midtown/East Sac,,Light Industrial - Class A,5000,0,,,,,
Downtown/Midtown/East Sac,,Flex/High Tech / R&D,46830,0,,,,,
Downtown/Midtown/East Sac,,Special Purpose,2502238,0,,,,,
Downtown/Midtown/East Sac,,Incubator,42000,0,,,,,
Downtown/Midtown/East Sac,,,4955716,0.012,,,1.17,,
West Sacramento,,Distribution - Class A,8105490,0.153,,,0.81,,
West Sacramento,,Distribution - Class B,3028185,0.03,,,0.66,,
West Sacramento,,Light Industrial - Class A,1554089,0,,,1.45,,
West Sacramento,,Light Industrial - Class B,6414616,0.019,,,0.77,,
West Sacramento,,Flex/High Tech / R&D,1760588,0.015,,,0.90,,
West Sacramento,,Special Purpose,4335625,0.015,,,0.74,,
West Sacramento,,Incubator,91507,0,,,,,
West Sacramento,,,25290100,0.061,,,0.79,,
South Sacramento,,Distribution - Class B,2144532,0,,,,,
South Sacramento,,Light Industrial - Class B,2731999,0.03,,,1.15,,
South Sacramento,,Flex/High Tech / R&D,41479,0,,,,,
South Sacramento,,Special Purpose,353817,0.056,,,0.97,,
South Sacramento,,Incubator,247600,0.037,,,0.83,,
South Sacramento,,,5519427,0.02,,,1.04,,
Elk Grove/Laguna/Galt,,Distribution - Class A,2687907,0,,,,,
Elk Grove/Laguna/Galt,,Distribution - Class B,769107,0,,,,,
Elk Grove/Laguna/Galt,,Light Industrial - Class B,1926700,0.009,,,1.06,,
Elk Grove/Laguna/Galt,,Light Industrial - Class A,417906,0,,,,,
Elk Grove/Laguna/Galt,,Flex/High Tech / R&D,550149,0.025,,,1.11,,
Elk Grove/Laguna/Galt,,Special Purpose,983820,0,,,,,
Elk Grove/Laguna/Galt,,Incubator,400827,0.019,,,1.14,,
Elk Grove/Laguna/Galt,,,7736416,0.005,,,1.10,,
Power Inn Area,,Distribution - Class A,4550211,0.007,,,0.73,,
Power Inn Area,,Distribution Class B,2995110,0.007,,,0.87,,
Power Inn Area,,Light Industrial - Class B,13205660,0.019,,,0.89,,
Power Inn Area,,Light Industrial - Class A,1538662,0,,,,,
Power Inn Area,,Flex/High Tech / R&D,1388050,0.038,,,1.06,,
Power Inn Area,,Special Purpose,4075348,0,,,1.25,,
Power Inn Area,,Incubator,890983,0.21,,,0.99,,
Power Inn Area,,,28644024,0.013,,,0.89,,
Northeast Sacramento,,Light Industrial - Class A,1578224,0.02,,,0.68,,
Northeast Sacramento,,Light Industrial - Class B,2747056,0.05,,,1.01,,
Northeast Sacramento,,Distribution - Class B,472397,0,,,,,
Northeast Sacramento,,Flex/High Tech / R&D,808064,0.041,,,1.22,,
Northeast Sacramento,,Special Purpose,1153266,0.023,,,1.34,,
Northeast Sacramento,,Incubator,153908,0,,,,,
Northeast Sacramento,,,6912915,0.033,,,1.01,,
Rancho Cordova,,Distribution - Class B,2146864,0.017,,,0.74,,
Rancho Cordova,,Distribution - Class A,1386926,0,,,,,
Rancho Cordova,,Light Industrial - Class A,1195196,0.017,,,0.90,,
Rancho Cordova,,Light Industrial - Class B,5711555,0.009,,,0.57,,
Rancho Cordova,,Flex / High Tech / R&D,2989484,0.056,,,0.98,,
Rancho Cordova,,Special Purpose,1796305,0.013,,,0.84,,
Rancho Cordova,,Incubator,3553617,0.02,,,1.02,,
Rancho Cordova,,,18779947,0.02,,,0.78,,
Roseville/Rocklin,,Distribution - Class A,3383403,0.02,,,0.69,,
Roseville/Rocklin,,Distribution - Class B,2834721,0,,,,,
Roseville/Rocklin,,Light Industrial - Class A,1142405,0,,,,,
Roseville/Rocklin,,Light Industrial - Class B,3385035,0.009,,,1.10,,
Roseville/Rocklin,,Flex/High Tech / R&D,3420575,0.012,,,1.48,,
Roseville/Rocklin,,Special Purpose,1269487,0.045,,,0.65,,
Roseville/Rocklin,,Incubator,1290194,0.006,,,1.27,,
Roseville/Rocklin,,,16725820,0.012,,,0.93,,
1-80/Roseville Road,,Light Industrial - Class B,4993589,0.011,,,0.80,,
1-80/Roseville Road,,Distribution - Class A,1996910,0,,,,,
1-80/Roseville Road,,Distribution - Class B,951256,0,,,,,
1-80/Roseville Road,,Light Industrial - Class A,336472,0,,,,,
1-80/Roseville Road,,Flex/High Tech / R&D,574139,0.026,,,0.82,,
1-80/Roseville Road,,Special Purpose,733841,0,,,,,
1-80/Roseville Road,,Incubator,1309254,0.003,,,0.96,,
1-80/Roseville Road,,,10895461,0.007,,,0.80,,
Lincoln,,Distribution - Class A,1597248,0.063,,,0.58,,
Lincoln,,Light Industrial - Class B,540391,0.015,,,1.22,,
Lincoln,,Distribution - Class B,364586,0,,,,,
Lincoln,,Light Industrial - Class A,37800,0,,,1.00,,
Lincoln,,Flex/High Tech / R&D,99986,0,,,,,
Lincoln,,Special Purpose,1100000,0,,,,,
Lincoln,,Incubator,16000,0,,,,,
Lincoln,,,3756011,0.029,,,0.75,,
Woodland/Davis,,Distribution - Class A,7316070,0,,,0.58,,
Woodland/Davis,,Distribution - Class B,3996704,0.025,,,0.55,,
Woodland/Davis,,Flex/High Tech / R&D,801675,0.025,,,1.52,,
Woodland/Davis,,Light Industrial - Class A,186586,0,,,0.75,,
Woodland/Davis,,Light Industrial - Class B,2060106,0,,,,,
Woodland/Davis,,Special Purpose,2884138,0,,,,,
Woodland/Davis,,Incubator,552698,0,,,2.50,,
Woodland/Davis,,,17797977,0.007,,,0.58,,
Folsom/El Dorado Hills,,Flex/High Tech / R&D,2120001,0.046,,,1.26,,
Folsom/El Dorado Hills,,Light Industrial - Class B,917528,0.006,,,1.15,,
Folsom/El Dorado Hills,,Incubator,815644,0.004,,,1.07,,
Folsom/El Dorado Hills,,Special Purpose,598661,0.012,,,1.00,,
Folsom/El Dorado Hills,,Light Industrial - Class A,272091,0,,,,,
Folsom/El Dorado Hills,,Distribution - Class B,106532,0,,,,,
Folsom/El Dorado Hills,,,4830457,0.024,,,1.20,,
Auburn/Newcastle,,Light Industrial - Class B,1831169,0.011,,,1.05,,
