primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Oahu,Kakaako,Industrial,2129129,0.033,4800,,1.6,,
Oahu,Iwilei,Industrial,2541284,0.026,0,,1.44,,
Oahu,Kalihi,Industrial,9320406,0.02,15182,,1.38,,
Oahu,Mapunapuna,Industrial,2916790,0.043,9696,,1.4,,
Oahu,Airport,Industrial,3117404,0.008,18000,,1.61,,
Oahu,Bougainville,Industrial,388051,0,0,,,,
Oahu,Halawa,Industrial,1461384,0.023,-660,,1.44,,
Oahu,Pearl City,Industrial,3666488,0.009,2380,,1.48,,
Oahu,Waipio,Industrial,1936581,0.011,1080,,1.37,,
Oahu,Waipahu,Industrial,3273346,0.015,-21198,,1.94,,
Oahu,Kapolei,Industrial,2264649,0.01,26700,,1.46,,
Oahu,Campbell,Industrial,4005265,0.02,-50340,,1.35,,
Oahu,Windward,Industrial,1079413,0.02,0,,,,
Oahu,Total,Industrial,38100190,0.019,5640,,1.46,,
Maui,Total,Industrial,8165548,0.004,6446,,1.42,,
Big Island,Total,Industrial,6143962,0.006,25380,,1.82,,
Kauai,Total,Industrial,1834993,0.008,0,,1.75,,
State,Total,Industrial,54244693,0.015,37466,,1.48,,
