primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central PA,Adams County,Industrial,2516961,0.002,4840,0,4.00,,
Central PA,Cumberland County,Industrial,65604519,0.028,-498270,100000,8.16,,
Central PA,Dauphin County,Industrial,31263226,0.109,1000871,0,8.12,1917901,
Central PA,Franklin County,Industrial,24604016,0.098,2553347,1006500,7.05,951080,
Central PA,Lancaster County,Industrial,55856968,0.052,-1469825,625240,8.26,231338,
Central PA,Lebanon County,Industrial,15955130,0.024,173327,1113178,7.13,,
Central PA,York County,Industrial,71766716,0.049,2958549,923145,7.46,203840,
Central PA,Subtotal,Industrial,267567536,0.054,4722839,3768063,7.77,3304159,
Lehigh Valley PA,Berks County,Industrial,40254893,0.131,40894,91555,9.14,652080,
Lehigh Valley PA,Lehigh County,Industrial,64211811,0.028,149232,310800,11.34,,
Lehigh Valley PA,Northampton County,Industrial,51592150,0.08,2210871,1559695,11.24,,
Lehigh Valley PA,Subtotal,Industrial,156058854,0.072,2400997,1962050,10.38,652080,
Northeast PA,Carbon County,Industrial,1253747,0,921328,0,,,
Northeast PA,Lackawanna County,Industrial,20396434,0.102,416477,0,6.00,1000000,
Northeast PA,Luzerne County,Industrial,52612281,0.035,2904508,2640000,7.20,201000,
Northeast PA,Monroe County,Industrial,7913851,0.14,586100,0,7.30,400140,
Northeast PA,Schuylkill County,Industrial,16446202,0.035,1266585,1229136,6.90,,
Northeast PA,Subtotal,Industrial,98622515,0.057,6094998,3869136,6.72,1601140,
PA I-78/I-81 Corridor,Total,Industrial,522248905,0.06,13218834,9599249,8.55,5557379,
