primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
West Raleigh,,Warehouse,1388486,,29423,,,,
West Raleigh,,Flex,1388486,0.079,29423,,,16.95,
US 70/Glenwood Avenue,,Warehouse,2667877,0.089,15769,120120,9.77,,
US 70/Glenwood Avenue,,Flex,2667877,0.022,15769,120120,,14.82,
Six Forks/Falls of Neuse Road,,Warehouse,2802673,0.037,-9110,11870,9.5,,
Six Forks/Falls of Neuse Road,,Flex,2802673,0.003,-9110,11870,,16.69,
US 1/Capital Boulevard,,Warehouse,7883095,0.035,-60919,,10.92,,
US 1/Capital Boulevard,,Flex,7883095,0.07,-60919,,,17.37,
Eastern Wake,,Warehouse,20904338,0.054,-87704,1124380,9.96,,
Eastern Wake,,Flex,20904338,0.081,-87704,1124380,,14.98,
Southern Wake,,Warehouse,6001662,0.093,-152872,63960,10.52,,
Southern Wake,,Flex,6001662,0.082,-152872,63960,,17.82,
Cary,,Warehouse,2551883,,-15156,,,10.31,
Cary,,Flex,2551883,.028,-15156,,,18.22,
RTP/1-40 Corridor,,Warehouse,21077903,0.015,471714,,9.81,,
RTP/1-40 Corridor,,Flex,21077903,0.115,471714,,,18.03,
North Durham,,Warehouse,2489256,,1000,346800,,
North Durham,,Flex,2489256,.038,1000,346800,,13.45,
South Durham,,Warehouse,1764627,,0,,,
South Durham,,Flex,1764627,0.007,0,,,16.13,
Orange County,,Warehouse,5004217,0.13,250620,921500,8.53,,
Orange County,,Flex,5004217,0.015,250620,921500,,15.18,
Johnston County,,Warehouse,9359074,0.096,-122050,1002428,6.68,,
Johnston County,,Flex,9359074,0,-122050,1002428,,14.59,
US 1/64 West Corridor,,Warehouse,8718552,0.036,-42274,593000,5.55,,
US 1/64 West Corridor,,Flex,8718552,0.86,-42274,593000,,16.62,
Franklin County,,Warehouse,3204527,0.018,-6925,394430,8,,
Franklin County,,Flex,3204527,0.078,-6925,394430,,14.55,
Granville County,,Warehouse,5479329,0.032,171879,,7.72,,
Granville County,,Flex,5479329,0,171879,,,,
Core Market Totals,,Warehouse,74536017,0.045,442765,2588630,9.96,,
Core Market Totals,,Flex,74536017,0.073,442765,2588630,,16.84,
Outlying Market Totals,,Warehouse,26761482,0.054,630,1989858,6.67,,
Outlying Market Totals,,Flex,26761482,0.154,630,1989858,,14.69,
Market Totals,,Warehouse,101297499,0.047,443395,4578488,8.92,,
Market Totals,,Flex,101297499,0.077,443395,4578488,,16.69,
