primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Airport,,Industrial,1111668,0.094,-92500,0,11.00,,
Downtown,,Industrial,3287932,0.002,-5523,0,12.50,,
Mesa del Sol,,Industrial,693896,0,,0,11.00,,
NE Heights,,Industrial,482381,0.009,-4420,0,9.00,,
North I-25,,Industrial,16680168,0.037,-454568,76574,12.00,62038,
North Valley,,Industrial,2663822,0.004,-10724,0,11.00,,
Rio Rancho,,Industrial,6539789,0.001,2300,0,19.00,,
SE Heights,,Industrial,1511743,0.017,105052,0,14.00,,
South I-25,,Industrial,3106520,0.036,79877,0,11.00,148140,
Valencia County,,Industrial,3234118,0.061,,0,9.50,,
West Mesa,,Industrial,7771037,0.012,54614,0,12.00,148720,
Market Total,,Industrial,47083074,0.025,-325892,76574,11.88,358898,
Logistics/Dist.,,Industrial,18031598,0.017,115033,76574,11.50,358898,
Manufacturing,,Industrial,13792598,0.054,-521942,0,10.50,,
Special Purpose,,Industrial,10172704,0.007,-51931,0,12.00,,
R&D/Flex,,Industrial,5086174,0.012,132948,0,12.00,,
