primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Piedmont Triad Airport Area,,Warehouse,17130928,0.058,19731,1884377,6.83,,
North Guilford,,Warehouse,7191293,0.021,,,,,
South Greensboro,,Warehouse,1905542,0.151,4032,,7.01,,
Central Guilford,,Warehouse,4093200,0.115,-1960,,7.33,,
Southeast Guilford,,Warehouse,6937939,0.114,,138000,6.73,,
High Point,,Warehouse,7774799,0.031,37396,,5.48,,
North Forsyth,,Warehouse,6852611,0.046,-2500,,5.65,,
Kernersville,,Warehouse,3972388,0.003,-5000,,7.87,,
South Forsyth,,Warehouse,3171651,0.024,27025,,6.90,,
Southeast Forsyth,,Warehouse,6359175,0.044,,500000,6.61,,
Winston-Salem CBD,,Warehouse,1760226,,,,,,
Clemmons,,Warehouse,377159,0.146,,,6.50,,
South Alamance,,Warehouse,6015831,0.178,380000,404450,6.31,,
North Alamance,,Warehouse,5472150,0.023,32698,,3.95,,
West Burlington/Airport,,Warehouse,614062,,,,,,
SW Alamance,,Warehouse,2389216,,,,,,
South Burlington,,Warehouse,1317504,0.109,,,5.00,,
Burlington CBD,,Warehouse,975559,0.074,41819,,4.89,,
Davie County,,Warehouse,6461896,0.082,-20000,781612,5.80,,
Warehouse Totals,,,91817368,0.066,533241,3209479,6.47,,
Piedmont Triad Airport Area,,Flex,1568039,0.055,-12125,,11.80,,
North Guilford,,Flex,320006,0.188,-16000,,10.82,,
South Greensboro,,Flex,260976,,,,6.25,,
Central Guilford,,Flex,1241563,0.058,12170,,9.16,,
Southeast Guilford,,Flex,232006,,,,,
High Point,,Flex,362792,0.118,,,,,
North Forsyth,,Flex,696487,0.084,-11035,,11.22,,
Kernersville,,Flex,551107,0.032,-9150,,9.43,,
South Forsyth,,Flex,191423,0.042,,,8.85,,
Southeast Forsyth,,Flex,35083,,,,,,
Flex Totals,,,5459482,0.063,-36140,,9.27,,
Industrial Totals,,,97276850,0.066,497101,3209479,6.61,,
