primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Pensacola,Escambia County,Overall,15090971,0.012,210428,,8.10,,
Pensacola,Santa Rosa County,Overall,1387946,0.083,35000,,6.95,,
Pensacola,Total,Overall,16478917,0.018,245428,,7.89,,
Destin/Fort Walton/Okaloosa,Destin,Overall,180933,0.056,-3000,,14.18,,
Destin/Fort Walton/Okaloosa,Fort Walton Beach,Overall,2497835,0.05,-16700,,8.37,,
Destin/Fort Walton/Okaloosa,S Walton/Miramar Beach,Overall,508076,,8750,25430,14.20,,
Destin/Fort Walton/Okaloosa,Niceville/Freeport/Crestview,Overall,1118747,0.058,-65000,327500,12.00,,
Destin/Fort Walton/Okaloosa,Total,Overall,4947877,0.044,-75950,352930,12.72,,
Panama City,Panama City Beach,Overall,804290,0.019,-6000,,10.64,,
Panama City,Panama City,Overall,5182528,0.006,84589,,11.15,,
Panama City,Total,Overall,6767052,0.007,78589,,11.08,,
Tallahassee,,Overall,12540044,0.042,-307508,,9.33,,
Total Panhandle,,Overall,40733890,0.027,-59441,352930,8.84,,
