primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
ATLANTA,,Warehouse/Distribution,610483526,0.076,4299361,15712108,6.82,4885741,
ATLANTA,,Shallow Bay,88489400,0.039,-195142,163170,7.00,,
ATLANTA,,Flex,38612304,0.051,9431,,11.24,,
Central Atlanta,,Overall,7212861,0.078,-10824,4897,10.42,,
Chattahoochee,,Overall,15524898,0.035,-2287,,9.80,,
Northwest/I-75,,Overall,82511256,0.159,2013663,580625,6.80,704010,
Central/GA 400,,Overall,25532491,0.042,-82770,45000,9.05,,
Northeast/I-85,,Overall,208003976,0.076,264572,4144533,7.27,1465389,
Stone Mountain,,Overall,27983948,0.016,-123640,,6.59,,
Airport,,Overall,84625221,0.048,125093,172000,7.45,,
Southeast/I-75,,Overall,73581624,0.059,1804532,5365980,6.79,1800000,
Southwest/I-85,,Overall,62396666,0.054,-41412,1862311,7.15,,
I-20 East,,Overall,41219609,0.074,66145,1941705,6.43,632014,
I-20 West,,Overall,109002680,0.052,100578,1758227,6.51,284328,
ATLANTA,,Overall,737595230,0.07,4113650,15875278,7.42,4885741,
