primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Western Suburbs,,Warehouse & Distribution,12183081,0.0459,8000,685034,6.25,,
CBD,,Warehouse & Distribution,594479,0.0079,0,0,6.00,,
Northwest,,Warehouse & Distribution,3865010,0.028,0,0,6.25,,
Northeast,,Warehouse & Distribution,17737235,0.1118,10000,0,6.25,,
South,,Warehouse & Distribution,4258016,0.049,0,0,5.25,,
Ankeny,,Warehouse & Distribution,5211314,0.087,157500,0,6.25,,
Greater DSM,,Warehouse & Distribution,43849135,0.0757,175500,685034,6.15,,
Western Suburbs,,Manufacturing,1882576,0,0,0,6.30,,
CBD,,Manufacturing,0,0,0,0,0.00,,
Northwest,,Manufacturing,2346399,0.0245,-57388,0,5.50,,
Northeast,,Manufacturing,3779644,0.0197,0,0,7.00,,
South,,Manufacturing,963057,0,0,0,4.75,,
Ankeny,,Manufacturing,2932101,0,0,0,7.00,,
Greater DSM,,Manufacturing,11903777,0.0111,-57388,0,6.30,,
Western Suburbs,,Modern Bulk Warehouse & Distribution,5548196,0.1053,0,685034,6.50,,
CBD,,Modern Bulk Warehouse & Distribution,0,0,0,0,0.00,,
Northwest,,Modern Bulk Warehouse & Distribution,2085427,0.0096,0,0,6.25,,
Northeast,,Modern Bulk Warehouse & Distribution,8915145,0.1654,0,0,6.25,,
South,,Modern Bulk Warehouse & Distribution,720834,0,0,0,5.25,,
Ankeny,,Modern Bulk Warehouse & Distribution,3969432,0.099,157500,0,6.50,,
Greater DSM,,Modern Bulk Warehouse & Distribution,21239034,0.1164,157500,685034,6.50,,
Western Suburbs,,Flex,5349447,0.0691,56769,76800,9.66,,
CBD,,Flex,327856,0.0335,0,0,9.00,,
Northwest,,Flex,823617,0.017,0,0,8.97,,
Northeast,,Flex,3430884,0.0372,28570,0,9.68,,
South,,Flex,351129,0.0615,0,0,8.44,,
Ankeny,,Flex,792301,0.0424,0,0,10.15,,
Greater DSM,,Flex,11075234,0.0521,85339,76800,9.50,,
