primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
CBD,,Industrial,1099007,,0,,8.84,,
CBD,,Class A,0,,,,,,
CBD,,Class B,521733,,,,8.84,,
CBD,,Class C,577274,,,,,,
Central,,Industrial,6699292,0.012,-65143,,9.50,,
Central,,Class A,32000,,,,9.74,,
Central,,Class B,2042015,0.007,,,9.26,,
Central,,Class C,4625277,0.014,-65143,,,,
East,,Industrial,900307,0.015,0,,9.69,,
East,,Class A,33327,,,,10.11,,
East,,Class B,367710,,,,9.26,,
East,,Class C,499270,0.027,0,,,,
Far Northwest,,Industrial,336154,,0,,10.11,,
Far Northwest,,Class B,278731,,,,9.74,,
North,,Industrial,8158974,0.032,606095,741503,10.11,544323,
North,,Class A,3659226,0.05,574589,741503,10.49,473395,
North,,Class B,1280473,0.031,31506,,9.74,70928,
North Central,,Industrial,20025493,0.027,-164576,574230,10.42,67066,
North Central,,Class A,2789500,0.032,,574230,10.61,,
North Central,,Class B,11701208,0.039,-164576,,10.24,67066,
Northwest,,Industrial,5724692,0.127,328398,1218321,10.11,952029,
Northwest,,Class A,1772850,0.365,328398,1114451,10.49,891212,
Northwest,,Class B,1974161,0.041,0,103870,9.74,60817,
Southeast,,Industrial,290957,,0,,9.62,,
Southeast,,Class B,131007,,,,9.13,,
Laredo Total,,Industrial,43234876,0.038,704774,2534054,9.80,1563418,
Laredo Total,,Class A,8286903,0.111,902987,2430184,10.29,1364607,
Laredo Total,,Class B,18297038,0.032,-133070,103870,9.49,198811,
Laredo Total,,Class C,16650935,0.007,-65143,,,,
