primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
East,,Industrial,22017433,0.111,139183,160000,,0,
Northwest,,Industrial,82263668,0.046,603600,1075677,,638296,
Southwest,,Industrial,71860107,0.039,556674,166900,,450600,
South Central,,Industrial,56033525,0.026,504129,369965,,388000,
North Central,,Industrial,54559012,0.018,-74272,459254,,503000,
Minneapolis,,Industrial,23714010,0.015,18819,,,,
St Paul,,Industrial,15522610,0.027,17043,21681,,0,
Midway,,Industrial,28734970,0.027,-17064,0,,182000,
Metro Overall,,Industrial,354705335,0.037,1748112,2253477,,1658896,
,,All Product Types,354705335,0.037,1748112,,,,
,,Bulk Warehouse,72484522,0.111,1276960,,,,
,,Office Warehouse,144459313,0.016,279946,,,,
,,Office Showroom,39977138,0.042,154945,,,,
,,Other,97784362,0.011,36261,,,,
Metro Overall,,Industrial,,,,2253477,,1658896,
