primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northeast Valley,,Industrial,13725588,0.031,-52231,243360,1.49,0,
Southeast Valley,,Industrial,96737987,0.108,1038265,8786885,1.28,3776933,
Airport Area,,Industrial,75654565,0.037,3165,100683,1.22,175380,
Southwest Valley,,Industrial,178902069,0.119,3160456,19532322,0.74,7224974,
Northwest Valley,,Industrial,52663024,0.042,334172,2014516,1.16,644626,
Phoenix Total,,Industrial,417683233,0.089,4483827,30677766,1.08,11821913,
,,Multi-Tenant,37286947,0.037,-96427,0,1.39,48810,
,,Distribution,199429396,0.146,3827709,25253622,0.82,10576380,
,,Freestanding,55688279,0.02,-54268,25282,1.31,83200,
,,General Industrial,76840108,0.043,97394,2969511,1.15,607764,
,,Back Office,10025781,0.158,231996,0,1.36,0,
,,Major User,28566512,0.024,266327,2429351,1.16,260169,
,,Special Purpose,9846210,0.007,211096,0,0.00,245590,
Phoenix Total,,Industrial,417683233,0.089,4483827,30677766,1.08,11821913,
