primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Seattle Close-In,Downtown/Lake Union,Industrial,1812431,0.154,-15240,0,,0,
Seattle Close-In,North Seattle/Interbay,Industrial,6854147,0.121,-12101,0,,0,
Seattle Close-In,East Seattle/Capitol Hill/Rainier Valley,Industrial,1922754,0.126,19430,0,,0,
Seattle Close-In,South/West Seattle,Industrial,40494359,0.067,127161,932560,,0,
Seattle Close-In,,Industrial,51083691,0.08,119250,932560,1.45,0,
Kent Valley,SeaTac,Industrial,6057078,0.047,-127905,315520,,0,
Kent Valley,Tukwila,Industrial,12161553,0.08,-23258,0,,0,
Kent Valley,Renton,Industrial,16164753,0.018,12832,0,,0,
Kent Valley,Kent,Industrial,48878073,0.056,-119711,0,,0,
Kent Valley,Auburn,Industrial,27986117,0.04,-206504,105208,,0,
Kent Valley,Federal Way,Industrial,3099567,0.522,-183,0,,0,
Kent Valley,Sumner,Industrial,19386608,0.068,-28733,25000,,0,
Kent Valley,,Industrial,133733749,0.062,-493462,445728,1.07,0,
Tacoma/Fife,Port of Tacoma,Industrial,12544453,0.05,-258150,0,,0,
Tacoma/Fife,Tacoma West,Industrial,5845188,0.038,-76576,11900,,0,
Tacoma/Fife,Fife,Industrial,13201921,0.061,-488461,251500,,0,
Tacoma/Fife,Puyallup,Industrial,8316378,0.072,-36161,436734,,0,
Tacoma/Fife,Frederickson,Industrial,12088375,0.092,541752,4320720,,0,
Tacoma/Fife,Lakewood,Industrial,7196046,0.095,-172139,165051,,0,
Tacoma/Fife,DuPont,Industrial,4635287,0.105,0,0,,0,
Tacoma/Fife,Gig Harbor,Industrial,757586,0.149,24846,0,,0,
Tacoma/Fife,,Industrial,64585234,0.072,-464889,5185905,0.94,0,
Eastside,Bellevue,Industrial,2030527,0.038,919,0,,0,
Eastside,1-90 Corridor,Industrial,2536825,0.11,-790,115575,,0,
Eastside,Kirkland/Totem Lake,Industrial,2318166,0.031,6296,0,,0,
Eastside,Overlake,Industrial,704781,0.265,5414,0,,0,
Eastside,Marymoor,Industrial,3484130,0.03,-57857,0,,0,
Eastside,Willows,Industrial,3834195,0.047,99570,0,,0,
Eastside,Bothell,Industrial,3052718,0.09,-26754,0,,0,
Eastside,Woodinville/Maltby,Industrial,6914581,0.032,-26342,45500,,0,
Eastside,,Industrial,24875923,0.056,456,161075,1.91,0,
Northend,Lynnwood/Edmonds/Mtlk Terrace,Industrial,2579822,0.03,4547,0,,0,
Northend,Monroe,Industrial,2041027,0.071,71358,0,,0,
Northend,Mukilteo,Industrial,2980771,0.103,-47900,0,,0,
Northend,Everett,Industrial,10959243,0.16,-416062,176402,,0,
Northend,No. Snohomish,Industrial,5355550,0.141,61208,471258,,0,
Northend,,Industrial,23916413,0.127,-326849,647660,1.10,0,
Puget Sound (3-county),,Industrial,298195010,0.072,-1165494,7372928,1.19,0,
Puget Sound (3-county),Whse/Bus Pk/Manuf,Industrial,288776920,0.07,-1202061,7372928,1.14,0,
Puget Sound (3-county),Flex,Industrial,9418090,0.121,36567,0,2.04,0,
Thurston County,Lacey,Industrial,12250673,0.022,194219,188000,,0,
Thurston County,Olympia Core,Industrial,822123,0,0,0,,0,
Thurston County,Tumwater,Industrial,4673438,0.091,75581,0,,0,
Thurston County,Outlying Thurston,Industrial,375220,0,297970,0,,0,
Thurston County,,Industrial,18121454,0.038,567770,188000,0.80,0,
Lewis County,,Industrial,5638167,0.002,-10080,0,0.60,0,
Five-County Total,,Industrial,321954631,0.069,-607804,7560928,1.16,0,
