primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Azusa,,Industrial,7985903,0.017,31120,0,1.22,0,45320
City of Industry,,Industrial,82518303,0.04,-712059,1607072,1.57,147490,995392
El Monte,,Industrial,11177200,0.007,0,360992,1.29,0,0
Irwindale,,Industrial,14889497,0.027,338098,130063,1.48,260889,69045
Monrovia/Duarte,,Industrial,6360799,0.029,-17576,0,1.25,0,18200
Pomona,,Industrial,20028577,0.016,-182134,230000,1.23,0,36603
South El Monte,,Industrial,6950997,0.005,19050,0,1.10,0,19050
Baldwin Park,,Industrial,4328591,0.034,17696,0,1.52,132254,30665
Walnut,,Industrial,642094,0.017,0,0,1.31,0,0
Glendora/San Dimas/La Verne,,Industrial,6421419,0.026,-11569,0,1.23,0,10362
SAN GABRIEL VALLEY,,Industrial,161303380,0.03,-517374,2328127,1.46,540633,1224637
