primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Palo Alto,,Industrial,1318677,0.066,0,,,2.05,,
Mountain View/Los Altos,,Industrial,1820807,0.043,-19016,,,2.40,,
Sunnyvale,,Industrial,5701124,0.012,0,,,2.05,,
Santa Clara,,Industrial,15977912,0.024,391,,,1.53,,
West Valley,,Industrial,1578873,0.04,-30865,,,2.00,,
San Jose-Downtown/IBP,,Industrial,12592142,0.043,-71507,,,1.49,,
San Jose-North,,Industrial,10550101,0.018,-5773,,,1.55,,
San Jose-South,,Industrial,12788189,0.024,191959,,,1.26,,
Milpitas,,Industrial,9790520,0.017,16255,,,1.49,,
Fremont/Newark,,Industrial,37316508,0.034,-312188,,,1.65,,
Silicon Valley,,Industrial,109434853,0.029,-230744,,,1.69,,
Silicon Valley,Manufacturing,Industrial,56282822,0.026,-165899,,1.71,,,
Silicon Valley,Warehouse,Industrial,41920362,0.028,185026,,1.44,,,
Silicon Valley,Advanced Manufacturing,Industrial,11231669,0.045,-249871,,1.99,,,
