primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Carson,,Industrial,44114103,0.052,-138247,829364,1.73,0,42456
Compton,,Industrial,21850520,0.057,-508231,0,1.60,0,25628
El Segundo,,Industrial,8109310,0.006,-8350,0,2.25,0,20058
Gardena,,Industrial,14955650,0.018,-87301,0,1.27,0,138275
Harbor City,,Industrial,3564408,0.092,-18371,0,1.68,0,0
Hawthorne,,Industrial,7285501,0.016,0,30595,1.91,0,40482
Inglewood,,Industrial,4044759,0.011,34442,0,1.69,0,17869
LA Unincorporated,,Industrial,15142850,0.028,7998,0,1.09,0,0
Lawndale,,Industrial,167202,0.06,0,0,1.69,0,0
Long Beach,,Industrial,18906768,0.035,-431990,0,1.74,0,90086
Los Angeles,,Industrial,5066750,0.037,14800,1206867,1.80,0,
Rancho Dominguez,,Industrial,20521720,0.027,-133529,205375,1.42,0,392573
Redondo Beach,,Industrial,2453948,0,0,0,0.00,0,0
San Pedro,,Industrial,3209187,0,0,0,1.59,0,0
Signal Hill,,Industrial,2421325,0.009,31515,0,1.31,0,0
Torrance,,Industrial,29959508,0.036,-240250,0,2.12,0,71399
Wilmington,,Industrial,3575764,0,29760,0,1.50,0,29760
SOUTH BAY,,Industrial,205349273,0.036,-1447754,2272201,1.70,0,1309031
