primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Hillsborough County,East Hillsborough,,83227114,0.051,50501,3421840,10.51,,
Hillsborough County,Tampa CBD,,8782663,0.037,-73224,0,12.25,,
Hillsborough County,Northeast,,2245043,0.001,5885,465388,12.12,,
Hillsborough County,East Tampa,,49708396,0.041,-240588,1089865,11.85,,
Hillsborough County,Plant City,,18581145,0.067,358428,1568207,6.92,,
Hillsborough County,Southeast,,3909867,0.166,0,298380,9.65,,
Hillsborough County,West Hillsborough,,20866439,0.038,105784,0,12.96,,
Hillsborough County,Westshore,,3566463,0.011,-20872,0,16.86,,
Hillsborough County,Airport,,13425190,0.049,153443,0,12.81,,
Hillsborough County,Southwest Tampa,,1855684,0.046,-23787,0,,,
Hillsborough County,Northwest Tampa,,2019102,0.01,-3000,0,18.00,,
Hillsborough County,,,104093553,0.049,156285,3421840,10.97,,
Pinellas County,South Pinellas,,8547872,0.085,-97944,0,9.74,,
Pinellas County,Mid Pinellas/Gateway,,29976750,0.029,930,225059,10.85,,
Pinellas County,North Pinellas,,6539261,0.022,-13512,0,10.57,,
Pinellas County,,,45063883,0.039,-110526,225059,10.42,,
Pasco County,,,13533848,0.162,-31552,0,11.52,,
Tampa Total,,,162691284,0.055,14207,3646899,10.89,,
