primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Cabarrus County,,Industrial,23553520,9.1,493353,329637,,,
Central,,Industrial,19875502,4.6,-42387,,,,
East,,Industrial,1656141,4.8,16853,,,,
Gaston County,,Industrial,34556974,16.9,114794,497640,,,
Iredell County,,Industrial,31897754,5.7,-38161,609000,,,
Lancaster County,,Industrial,5475925,0.9,,,,,
Lincoln County,,Industrial,11685557,5.2,534087,402796,,,
North,,Industrial,27849437,9.1,-239156,961403,,,
Northeast,,Industrial,2861483,13.9,-1591,,,,
Northwest,,Industrial,11568092,6.4,-168664,,,,
Rowan County,,Industrial,19090366,15.2,655574,1842454,,,
Southeast,,Industrial,4138317,2.1,-50881,95400,,,
Southwest,,Industrial,48184779,4.1,181244,1471058,,,
Union County,,Industrial,14206178,3.4,39193,60000,,,
West,,Industrial,11682659,13.5,58503,334857,,,
York County,,Industrial,33132317,8.1,51986,428379,,,
METRO TOTAL,,Industrial,301425001,8.2,1606347,7032624,9.77,,
