primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Southeast PA,Bucks County,Industrial,54047105,7.7,,2438017,11.34,
Southeast PA,Chester County,Industrial,22543384,3.8,,636120,13.04,
Southeast PA,Delaware County,Industrial,21463981,6.1,,105000,14.58,
Southeast PA,Montgomery County,Industrial,55758414,7.9,,,11.63,
Southeast PA,Philadelphia County,Industrial,56553052,5.2,,2663051,11.58,
Southern NJ,Burlington County,Industrial,64822557,14.2,,2395242,12.73,
Southern NJ,Camden County,Industrial,26869538,4.4,,585000,10.53,
Southern NJ,Gloucester County,Industrial,36377350,7.1,,1493550,11.92,
Southern NJ,Salem County,Industrial,8295619,18.4,,3795234,11.64,
Northern DE,New Castle,Industrial,33468090,6.8,,933000,10.46,
Southeast PA Subtotal,,,210406936,6.5,,5842188,11.89,
Southern NJ Subtotal,,,136365064,10.6,,8269026,12.23,
Northern DE Subtotal,,,33468090,6.8,,933000,10.46,
Total,,,380240090,8.0,,15044214,11.93,,
