primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northgate/Natomas,,,24797331,10.8,-235009,,0.81,,
Richards,,,4734986,4.6,-19373,,0.64,,
Downtown/Midtown/East Sacramento,,,4955716,1.2,76,,0.88,,
West Sacramento,,,25410592,6.3,-5602,,0.83,,
South Sacramento,,,5535880,4.5,-31046,,1.23,,
Elk Grove/Laguna/Galt,,,7815516,1.4,31426,,1.11,,
Power Inn Area,,,28727452,2.5,59193,,0.75,,
Northeast Sacramento,,,6924834,3.2,1398,,0.85,,
Rancho Cordova,,,19522263,9.2,24233,,0.79,,
Roseville/Rocklin,,,16859070,1.8,-12864,,0.94,,
I-80/Roseville Rd,,,11048961,2.5,136,,0.93,,
Lincoln,,,3756011,1.9,42874,,0.75,,
Woodland/Davis,,,18030675,5.0,-593345,,0.67,,
Folsom/El Dorado Hills,,,5008830,4.9,41466,,1.15,,
McClellan Park,,,7822479,3.7,-83316,,0.60,,
Auburn/Newcastle,,,3051504,2.2,-2135,,0.97,,
Market Total,,,194002100,5.1,-781888,,0.81,,
