primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Ceres,,Total Industrial,7030672,0.158,0,,0.68,,
Lathrop,,Total Industrial,18536468,0.101,-322560,,0.73,,
Lodi,,Total Industrial,5518023,0.21,0,,0.77,,
Manteca,,Total Industrial,46570126,0,0,,,,
Modesto,,Total Industrial,6411159,0.007,667125,,0.65,,
Oakdale,,Total Industrial,890391,0,0,,,,
Patterson,,Total Industrial,15052114,0,0,,,,
Stockton,,Total Industrial,5008183,0.132,2442396,,0.73,,
Tracy,,Total Industrial,33515103,0.055,124603,,0.8,,
Turlock,,Total Industrial,2875028,0,0,,,,
Market Totals,,Total Industrial,141407267,0.079,2911564,,0.74,,
