primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
American Canyon,,"Industrial",8675872,0.081,10300,,0.92,,
American Canyon,,"Manufacturing",475767,0.039,0,,0.88,,
American Canyon,,"R&D/Flex",15040,0.000,6000,,1.10,,
American Canyon,,"Warehouse/Distribution",8185065,0.084,4300,,1.00,,
Benicia,,"Industrial",8564332,0.022,54856,,1.08,,
Benicia,,"Manufacturing",1189094,0.028,6103,,0.95,,
Benicia,,"R&D/Flex",481763,0.024,63108,,1.17,,
Benicia,,"Warehouse/Distribution",6893475,0.021,-14355,,1.06,,
Fairfield,,"Industrial",17582455,0.097,-2080,,0.86,,
Fairfield,,"Manufacturing",2297129,0.037,0,,0.95,,
Fairfield,,"R&D/Flex",1309065,0.105,0,,1.33,,
Fairfield,,"Warehouse/Distribution",13976261,0.106,-2080,,0.82,,
Napa,,"Industrial",9310873,0.033,6072,,1.17,,
Napa,,"Manufacturing",917450,0.059,6960,,1.33,,
Napa,,"R&D/Flex",1846302,0.030,0,,1.61,,
Napa,,"Warehouse/Distribution",6547121,0.030,-888,,1.03,,
Vacaville,,"Industrial",13151436,0.082,-1234,,0.91,,
Vacaville,,"Manufacturing",1264986,0.000,0,,0.90,,
Vacaville,,"R&D/Flex",1529905,0.189,3576,,1.14,,
Vacaville,,"Warehouse/Distribution",10356545,0.076,-4810,,0.91,,
Vallejo,,"Industrial",4841219,0.021,-47129,,1.31,,
Vallejo,,"Manufacturing",1927151,0.032,-18649,,1.22,,
Vallejo,,"R&D/Flex",584575,0.000,0,,0.95,,
Vallejo,,"Warehouse/Distribution",2329493,0.017,-28480,,1.47,,
Napa-Solano Ind. Market,,"Industrial",62126187,0.066,20785,,0.92,,
Napa-Solano Ind. Market,,"Manufacturing",8071577,0.031,-5586,,1.24,,
Napa-Solano Ind. Market,,"R&D/Flex",5766650,0.086,72684,,1.37,,
Napa-Solano Ind. Market,,"Warehouse/Distribution",48287960,0.069,-46313,,0.87,,
