primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
City of Alexandria,,"Overall",3859387,0.047,35956,,16.73,,
Arlington County,,"Overall",512693,0.014,-7028,,,,
Fairfax County,,"Overall",32709684,0.052,245900,,15.93,,
Loudoun County,,"Overall",20134014,0.048,75396,,18.47,,
Prince William County,,"Overall",18261757,0.034,97619,188883,15.97,,
Total,,"Overall",75477535,0.046,447843,188883,16.78,,
City of Alexandria,,"Warehouse",3308375,0.047,25642,,16.73,,
Arlington County,,"Warehouse",400784,0.018,-7028,,,,
Fairfax County,,"Warehouse",19190499,0.039,186199,,15.85,,
Loudoun County,,"Warehouse",13651986,0.057,8204,,18.91,,
Prince William County,,"Warehouse",13811710,0.040,59716,188883,16.14,,
Total,,"Warehouse",50363354,0.045,272733,188883,17.18,,
City of Alexandria,,"Flex",551012,0.046,10314,,,,
Arlington County,,"Flex",111909,,,,,,
Fairfax County,,"Flex",13519185,0.071,63101,,16.02,,
Loudoun County,,"Flex",6482028,0.030,67192,,15.77,,
Prince William County,,"Flex",4450047,0.014,37903,,15.61,,
Total,,"Flex",25174181,0.049,175110,,15.95,,
Total,,"Class A",,,,,20.65,,
