primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Bucks County,,"Industrial",54367355,0.087,-309043,2117767,12.12,320250,
Bucks County,,"Class A Logistics",,,,,13.26,,
Chester County,,"Industrial",22543384,0.038,-41688,636120,12.41,0,
Chester County,,"Class A Logistics",,,,,14.00,,
Delaware County,,"Industrial",21463981,0.063,36548,105000,14.49,0,
Delaware County,,"Class A Logistics",,,,,15.57,,
Montgomery County,,"Industrial",55901414,0.087,-901330,266880,11.86,0,
Montgomery County,,"Class A Logistics",,,,,12.03,,
Philadelphia County,,"Industrial",57312262,0.062,414327,1903841,12.64,759210,
Philadelphia County,,"Class A Logistics",,,,,16.27,,
Southeast PA Subtotal,,"Industrial",211629396,0.073,-801186,5029608,12.49,1079460,
Southeast PA Subtotal,,"Class A Logistics",,,,,14.63,,
Burlington County,,"Industrial",65173557,0.122,3447957,2044242,12.77,351000,
Burlington County,,"Class A Logistics",,,,,13.15,,
Camden County,,"Industrial",27229538,0.052,-287540,225000,11.87,360000,
Camden County,,"Class A Logistics",,,,,14.66,,
Gloucester County,,"Industrial",37268705,0.097,148314,602195,12.09,891355,
Gloucester County,,"Class A Logistics",,,,,12.56,,
Salem County,,"Industrial",10008061,0.323,22170,2082792,12.11,1712442,
Salem County,,"Class A Logistics",,,,,12.07,,
Southern NJ Subtotal,,"Industrial",139679861,0.116,3330901,4954229,12.40,3314797,
Southern NJ Subtotal,,"Class A Logistics",,,,,12.74,,
New Castle,,"Industrial",33468090,0.069,709383,933000,10.34,0,
New Castle,,"Class A Logistics",,,,,11.97,,
Northern DE Subtotal,,"Industrial",33468090,0.069,709383,933000,10.34,0,
Northern DE Subtotal,,"Class A Logistics",,,,,11.97,,
Total,,"Industrial",384777347,0.088,3239098,10916837,12.26,4394257,
Total,,"Class A Logistics",,,,,13.34,,
