primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
San Francisco,,Industrial,21965419,0.09,-120957,,1.80,,
San Francisco,,Warehouse,18836003,0.073,-73254,,1.76,,
San Francisco,,Manufacturing,3129416,0.192,-47703,,1.94,,
SF Peninsula,,Industrial,34231921,0.055,314,,1.85,,
SF Peninsula,,Warehouse,29670553,0.057,-2234,,1.83,,
SF Peninsula,,Manufacturing,4561368,0.036,2548,,2.05,,
Silicon Valley,,Industrial,110700518,0.043,2236,,1.82,,
Silicon Valley,,Warehouse,50362810,0.058,219182,,1.61,,
Silicon Valley,,Manufacturing,60337708,0.03,-216946,,1.92,,
Oakland,,Industrial,127107625,0.063,-233401,,1.35,,
Oakland,,Warehouse,93699032,0.072,-196135,,1.37,,
Oakland,,Manufacturing,33408593,0.038,-37266,,1.27,,
I-680 Corridor,,Industrial,38296020,0.058,-300589,,1.23,,
I-680 Corridor,,Warehouse,32380327,0.048,-219066,,1.23,,
I-680 Corridor,,Manufacturing,5915693,0.113,-81523,,1.18,,
Napa / Solano,,Industrial,56359537,0.083,-1072411,,0.88,,
Napa / Solano,,Warehouse,48287960,0.091,-1072411,,0.87,,
Napa / Solano,,Manufacturing,8071577,0.031,0,,1.24,,
Bay Area,,Industrial,388661040,0.06,-1724808,1800000,1.40,,
Bay Area,,Warehouse,273236685,0.069,-1343918,,1.35,,
Bay Area,,Manufacturing,115424355,0.041,-380890,,1.61,,
