primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Airport,,Industrial,7435544,0.167,-61680,855180,0.96,0,
Bench,,Industrial,1894698,0.001,301,0,1.14,0,
Caldwell,,Industrial,6169506,0.111,49906,0,0.77,0,
Downtown,,Industrial,621267,0.178,0,0,0.78,0,
Eagle,,Industrial,245194,0.007,-1759,0,1.48,0,
Kuna,,Industrial,203390,0.0,0,0,,0,
Meridian,,Industrial,6254815,0.021,43769,167968,1.05,132236,
Nampa,,Industrial,14361254,0.12,-101350,340848,0.85,0,
North Boise,,Industrial,1704516,0.007,-3754,0,0.9,0,
South Meridian,,Industrial,876649,0.017,-15176,0,1.3,0,
Southeast,,Industrial,4287732,0.005,-3653,0,1.25,0,
Southwest,,Industrial,2457939,0.058,-32887,0,0.94,88140,
Star,,Industrial,58076,0.0,0,0,,0,
West,,Industrial,3584501,0.038,-65763,0,0.95,0,
West Canyon,,Industrial,1089102,0.0,0,0,,0,
Market Total,,Industrial,51244183,0.082,-192046,1363996,0.86,220376,
