primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central,,Industrial,27670006,0.044,53665,0,6.35,0,
Delaware County,,Industrial,12165331,0.056,142757,0,6.66,0,
East,,Industrial,25385830,0.028,62945,191077,6.84,0,
Fairfield County,,Industrial,9183757,0.15,0,0,5.79,0,
Licking County,,Industrial,40451053,0.059,1639865,0,5.71,0,
Madison County,,Industrial,20760804,0.141,383040,0,6.0,0,
Northeast,,Industrial,11554302,0.049,242042,0,6.73,0,
Northwest,,Industrial,1262027,0.013,0,0,13.0,0,
Pickaway County,,Industrial,19779490,0.196,-158775,0,5.58,350000,
Southeast,,Industrial,72041638,0.045,410000,0,5.97,400000,
Southwest,,Industrial,17823618,0.063,-144801,135000,5.71,0,
Union County,,Industrial,10458324,0.022,-17238,250829,8.71,0,
West,,Industrial,34823302,0.133,-74271,81000,6.66,0,
Market Total,,Industrial,303359482,0.076,2539229,657906,6.03,750000,
