primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Seattle Close-In,Downtown/Lake Union,Industrial,1717241,0.162,649,0,,,,
Seattle Close-In,North Seattle/Interbay,Industrial,6825147,0.103,7640,12454,,,,
Seattle Close-In,East Seattle/Capitol Hill/Rainier Valley,Industrial,1801563,0.135,-2260,0,,,,
Seattle Close-In,South/West Seattle,Industrial,39528135,0.091,-2646,0,,,,
Seattle Close-In,,Industrial,49872086,0.097,3383,12454,1.55,,
Kent Valley,Sea Tac,Industrial,6360510,0.072,148213,0,,,,
Kent Valley,Tukwila,Industrial,12161553,0.111,-89911,0,,,,
Kent Valley,Renton,Industrial,16164753,0.031,-173724,0,,,,
Kent Valley,Kent,Industrial,48878073,0.082,-86130,435594,,,,
Kent Valley,Auburn,Industrial,28486593,0.051,-325335,0,,,,
Kent Valley,Federal Way,Industrial,3172500,0.177,8935,802248,,,,
Kent Valley,Sumner,Industrial,19411608,0.069,82384,1182042,,,,
Kent Valley,,Industrial,134635590,0.072,-435568,2419884,1.18,,
Tacoma/Fife,Port of Tacoma,Industrial,12544453,0.092,-527230,26000,,,,
Tacoma/Fife,Tacoma West,Industrial,5845188,0.056,-44947,2145952,,,,
Tacoma/Fife,Fife,Industrial,13456909,0.089,-91729,14000,,,,
Tacoma/Fife,Puyallup,Industrial,8537909,0.094,7064,847205,,,,
Tacoma/Fife,Frederickson,Industrial,16409095,0.178,437566,0,,,,
Tacoma/Fife,Lakewood,Industrial,7386464,0.149,69164,0,,,,
Tacoma/Fife,DuPont,Industrial,4635287,0.106,5359,0,,,,
Tacoma/Fife,Gig Harbor,Industrial,757586,0.131,0,0,,,,
Tacoma/Fife,,Industrial,69572891,0.116,-144753,3033157,0.91,,
Eastside,Bellevue,Industrial,2030527,0.03,14100,0,,,,
Eastside,1-90 Corridor,Industrial,2652400,0.154,-17300,0,,,,
Eastside,Kirkland/Totem Lake,Industrial,2318166,0.012,6882,0,,,,
Eastside,Overlake,Industrial,704781,0.279,14286,0,,,,
Eastside,Marymoor,Industrial,3484130,0.05,26756,0,,,,
Eastside,Willows,Industrial,3846437,0.066,-28971,0,,,,
Eastside,Bothell,Industrial,2985818,0.139,-176741,0,,,,
Eastside,Woodinville/Maltby,Industrial,6909081,0.075,19005,0,,,,
Eastside,,Industrial,24931340,0.082,-141983,0,1.88,,
Northend,Lynnwood/Edmonds/Mtik Terrace,Industrial,2579822,0.017,-12069,242981,,,,
Northend,Monroe,Industrial,2041027,0.063,64167,0,,,,
Northend,Mukilteo,Industrial,2980121,0.104,-17232,0,,,,
Northend,Everett,Industrial,11165253,0.128,32620,125048,,,,
Northend,No. Snohomish,Industrial,5932940,0.213,14744,307860,,,,
Northend,,Industrial,24699163,0.128,82230,675889,1.16,,
Puget Sound (3-county),,Whse/Bus Pk/Manuf,294686850,0.089,-471216,6141384,1.21,,
Puget Sound (3-county),,Flex,9184307,0.166,-165475,0,1.75,,
Puget Sound (3-county),,,303711070,0.092,-636691,6141384,1.25,,
Thurston County,Lacey,Industrial,12476673,0.059,-36525,0,,,,
Thurston County,Olympia Core,Industrial,822123,0.0,0,0,,,,
Thurston County,Tumwater,Industrial,4731338,0.061,210191,36000,,,,
Thurston County,Outlying Thurston,Industrial,395220,0.0,0,0,,,,
Thurston County,,Industrial,18425354,0.056,173666,36000,0.76,,
Lewis County,,Industrial,5745292,0.019,0,0,N/A,,
Five-County Total,,,327881716,0.088,-463025,6177384,1.24,,
