primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northeast,,Warehouse,22419788,0.037,88724,905900,8.66,,
Northwest,,Warehouse,22090800,0.065,239297,350599,7.67,,
Southeast,,Warehouse,48863427,0.017,53855,2630860,8.41,,
Southwest,,Warehouse,36114914,0.031,-61537,0,7.26,,
Total,,Warehouse,129488929,0.033,320339,3887359,7.87,,
Northeast,,Flex,1938534,0.107,6032,0,12.77,,
Northwest,,Flex,5263655,0.047,5332,0,12.51,,
Southeast,,Flex,1166395,0.107,13500,0,11.57,,
Southwest,,Flex,3055521,0.023,-15416,0,9.77,,
Total,,Flex,11424105,0.057,9448,0,12.25,,
Northeast,,Industrial,24358322,0.042,94756,905900,9.62,,
Northwest,,Industrial,27354455,0.062,244629,350599,8.34,,
Southeast,,Industrial,50029822,0.019,67355,2630860,8.89,,
Southwest,,Industrial,39170435,0.031,-76953,0,7.34,,
Market Total,,Industrial,140913034,0.035,329787,3887359,8.46,,
