primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northwest,Airport,Industrial,26765974,0.088,321358,1161600,0.74,,
Northwest,California Ave,Industrial,58458596,0.089,52570,328367,0.77,339845,
Northwest,West Valley,Industrial,22897520,0.054,-319864,,0.79,,
Northwest,,Industrial,108122090,0.082,54064,1489967,0.76,339845,
Northeast,Downtown,Industrial,15160006,0.02,3600,,0.77,,
Northeast,Murray,Industrial,3885648,0.033,3874,,0.68,,
Northeast,South Salt Lake,Industrial,17569473,0.013,18836,,0.80,,
Northeast,,Industrial,36615127,0.018,28310,,0.75,,
South Valley,Bluffdale,Industrial,2828899,0.099,58537,52490,1.08,232239,
South Valley,Draper,Industrial,4797767,0.03,-15821,,1.20,,
South Valley,Sandy,Industrial,5767466,0.026,2840,,0.96,,
South Valley,West Jordan,Industrial,13381383,0.113,-285406,290642,0.77,,
South Valley,,Industrial,26775515,0.078,-239850,343132,0.86,232239,
Market Total,,Industrial,171512732,0.068,-159476,1833099,0.78,572084,
