primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
COMMERCE,Bell,Industrial,5306986,0.014,-12759,0,1.69,,23098
COMMERCE,Bell Gardens,Industrial,2324798,0.038,-10108,0,1.26,,91249
COMMERCE,City of Commerce,Industrial,48848418,0.088,59468,441336,1.08,,924250
COMMERCE,Montebello,Industrial,11415022,0.044,2323,13825,1.83,,111724
COMMERCE,Monterey Park,Industrial,2081895,0.071,-17238,0,0.82,,37600
COMMERCE,Pico Rivera,Industrial,10274893,0.082,-28864,0,1.3,,45336
COMMERCE,Total,Industrial,80252012,0.074,-7178,455161,1.2,,1233257
VERNON,Cudahy,Industrial,1162664,0.086,2160,0,1.1,,6560
VERNON,City of Vernon,Industrial,4379407,0.055,-63570,0,0.81,,15800
VERNON,Maywood,Industrial,825620,0,0,0,N/A,,0
VERNON,South Gate,Industrial,10470765,0.053,-139015,0,1.08,,105327
VERNON,Huntington Park,Industrial,55411577,0.047,162040,333104,1.07,,804646
VERNON,Total,Industrial,72250033,0.049,-38385,333104,1.05,,932333
COMMERCE/VERNON,Total,Industrial,152502045,0.062,-45563,788265,1.13,,2165590
DOWNTOWN LOS ANGELES,Los Angeles,Industrial,95962424,0.046,-425582,167522,0.92,,485386
DOWNTOWN LOS ANGELES,Total,Industrial,95962424,0.046,-425582,167522,0.92,,485386
CENTRAL LOS ANGELES,Total,Industrial,248464469,0.056,-471145,955787,1.07,,2650976
MID-COUNTIES,Artesia,Industrial,279507,0.054,0,0,0.68,,0
MID-COUNTIES,Bellflower,Industrial,511296,0,0,0,N/A,,0
MID-COUNTIES,Cerritos,Industrial,13611480,0.051,79409,0,1.11,,318156
MID-COUNTIES,Downey,Industrial,5428949,0.03,-18140,0,1.17,,122500
MID-COUNTIES,La Mirada,Industrial,13129040,0.08,-106483,0,1.47,,47256
MID-COUNTIES,Lakewood,Industrial,659318,0,0,42846,1.12,,0
MID-COUNTIES,Norwalk,Industrial,2840857,0.004,109940,0,N/A,,120000
MID-COUNTIES,Paramount,Industrial,8591253,0.032,0,0,,47128
MID-COUNTIES,Santa Fe Springs,Industrial,53236437,0.054,-58406,459575,1.53,,739757
MID-COUNTIES,Whittier,Industrial,4357074,0.08,0,292303,1.23,,0
MID-COUNTIES,Total,Industrial,102645211,0.053,-47124,794724,1.4,,1407047
EAST SAN FERNANDO VALLEY,Arleta/Tujunga,Industrial,12248883,0.034,33599,0,1.54,,124279
EAST SAN FERNANDO VALLEY,Burbank,Industrial,14329447,0.028,-1166,0,1.73,,58311
EAST SAN FERNANDO VALLEY,Glendale,Industrial,17400618,0.011,7171,0,1.69,,30945
EAST SAN FERNANDO VALLEY,North Hollywood,Industrial,13990181,0.026,-60148,0,1.48,,110004
EAST SAN FERNANDO VALLEY,Pacoima,Industrial,5149558,0.004,-8240,0,1.31,,24985
EAST SAN FERNANDO VALLEY,Pasadena,Industrial,3513135,0.028,32674,0,1.32,,35788
EAST SAN FERNANDO VALLEY,San Fernando,Industrial,5276373,0.034,-41912,0,1.12,,0
EAST SAN FERNANDO VALLEY,Sun Valley/Sunland,Industrial,228467,0,0,0,N/A,,33603
EAST SAN FERNANDO VALLEY,Sylmar,Industrial,7569247,0.046,0,440000,1.54,,0
EAST SAN FERNANDO VALLEY,Total,Industrial,79705909,0.025,-38022,440000,1.5,,384312
WEST SAN FERNANDO VALLEY,Agoura Hills,Industrial,711349,0.014,-4628,0,1.52,,0
WEST SAN FERNANDO VALLEY,Calabasas,Industrial,1403867,0.052,0,0,1.66,,0
WEST SAN FERNANDO VALLEY,Canoga Park,Industrial,5343963,0.025,17081,0,1.24,,17081
WEST SAN FERNANDO VALLEY,Chatsworth,Industrial,22275023,0.034,-56371,0,1.35,,213698
WEST SAN FERNANDO VALLEY,Granada Hills,Industrial,43598,0,0,0,N/A,,0
WEST SAN FERNANDO VALLEY,Mission Hills,Industrial,126781,0,0,0,N/A,,0
WEST SAN FERNANDO VALLEY,Northridge,Industrial,3521314,0.05,-57724,0,1.25,,10000
WEST SAN FERNANDO VALLEY,Panorama City,Industrial,2452062,0.003,0,0,1.03,,0
WEST SAN FERNANDO VALLEY,Reseda,Industrial,439927,0,0,0,N/A,,0
WEST SAN FERNANDO VALLEY,Sepulveda,Industrial,944878,0.015,0,0,1.26,,126768
WEST SAN FERNANDO VALLEY,Sherman Oaks,Industrial,38817,0,0,0,N/A,,0
WEST SAN FERNANDO VALLEY,Tarzana,Industrial,465121,0.039,0,0,1.45,,0
WEST SAN FERNANDO VALLEY,Van Nuys,Industrial,18713893,0.018,-93895,91950,1.33,,136176
WEST SAN FERNANDO VALLEY,Woodland Hills,Industrial,2314791,0.034,-13200,0,1.81,,0
WEST SAN FERNANDO VALLEY,Total,Industrial,58795384,0.027,-208737,91950,1.37,,503723
SANTA CLARITA VALLEY,Canyon Country,Industrial,576309,0,0,0,N/A,,10800
SANTA CLARITA VALLEY,Castaic,Industrial,96253,0,0,0,N/A,,0
SANTA CLARITA VALLEY,Santa Clarita,Industrial,4131547,0.078,0,604407,1.1,,172843
SANTA CLARITA VALLEY,Valencia,Industrial,20502566,0.02,-128030,126607,1.41,,108929
SANTA CLARITA VALLEY,Total,Industrial,25306675,0.029,-128030,731014,1.39,,292572
ANTELOPE VALLEY,Lancaster,Industrial,4071002,0.011,25000,936538,1.13,,20000
ANTELOPE VALLEY,Palmdale,Industrial,3595962,0.054,0,1000000,1.02,,0
ANTELOPE VALLEY,Total,Industrial,7666964,0.031,25000,1936538,1.04,,20000
GREATER SAN FERNANDO VALLEY,Total,Industrial,171474932,0.027,-349789,3199502,1.41,,1200607
SAN GABRIEL VALLEY,Azusa,Industrial,7745814,0.074,-218537,0,1.08,,0
SAN GABRIEL VALLEY,City of Industry,Industrial,83270877,0.031,497144,437836,1.29,,1778539
SAN GABRIEL VALLEY,El Monte,Industrial,9479950,0.033,-161120,0,0.93,,65301
SAN GABRIEL VALLEY,Irwindale,Industrial,14725836,0.065,-98458,0,1.26,,33307
SAN GABRIRL VALLEY,Monrovia/Duarte,Industrial,5900369,0.048,33188,0,1.11,,66914
SAN GABRIEL VALLEY,Pomona,Industrial,19670425,0.056,-39995,0,0.81,,377927
SAN GABRIEL VALLEY,South El Monte,Industrial,6993598,0.02,56732,0,1.01,,133855
SAN GABRIEL VALLEY,Baldwin Park,Industrial,4680421,0.085,10220,0,0.94,,68899
SAN GABRIEL VALLEY,Walnut,Industrial,642094,0.021,0,0,1.5,,103906
SAN GABRIEL VALLEY,Glendora/San Dimas/La Verne,Industrial,6203192,0.07,-134573,0,1.1,,71106
SAN GABRIEL VALLEY,Total,Industrial,159312576,0.043,-55399,437836,1.12,,2699754
SOUTH BAY,Carson,Industrial,44529177,0.075,-339646,429112,1.48,,283998
SOUTH BAY,Compton,Industrial,21762886,0.07,138879,0,1.39,,402599
SOUTH BAY,El Segundo,Industrial,5924321,0.016,-9166,0,2.74,,24000
SOUTH BAY,Gardena,Industrial,14522960,0.036,-102217,0,1.24,,58961
SOUTH BAY,Harbor City,Industrial,3274244,0.083,0,0,1.81,,23500
SOUTH BAY,Hawthorne,Industrial,6839280,0.021,29785,0,1.6,,55685
SOUTH BAY,Inglewood,Industrial,3910642,0.016,0,0,1.67,,0
SOUTH BAY,LA Unincorporated,Industrial,14935484,0.058,51032,0,1.07,,118615
SOUTH BAY,Lawndale,Industrial,167202,0,0,0,N/A,,0
SOUTH BAY,Long Beach,Industrial,18633104,0.092,-114561,440343,1.31,,74660
SOUTH BAY,Los Angeles (LAX),Industrial,4801801,0.038,-27986,0,2.07,,0
SOUTH BAY,Rancho Dominguez,Industrial,20576700,0.06,269058,0,1.24,,527239
SOUTH BAY,Redondo Beach,Industrial,2489244,0.028,0,0,1.98,,140000
