Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q
CBRE,2021,Q,1,Boston,Urban,Urbon,Industrial,14512313,0.036,-85337,,21.93,,
CBRE,2021,Q,1,Boston,Metro North,Close-In Suburbs North,Industrial,17910543,0.019,-2600,,17.68,,
CBRE,2021,Q,1,Boston,Metro North,Route 128 - North,Industrial,32260569,0.024,286431,,14.21,,
CBRE,2021,Q,1,Boston,Metro North,Route 495- Northeast,Industrial,19244348,0.011,-3205,,11.66,,
CBRE,2021,Q,1,Boston,Metro North,Route 3 - North,Industrial,17726435,0.042,36732,,11.87,,
CBRE,2021,Q,1,Boston,Metro North,,Industrial,87141895,0.024,317358,,13.84,,
CBRE,2021,Q,1,Boston,Metro South,Route 128 - South,Industrial,44321607,0.034,611546,,9.97,,
CBRE,2021,Q,1,Boston,Metro South,Route 495 - South,Industrial,65990890,0.021,387402,,7.94,,
CBRE,2021,Q,1,Boston,Metro South,,Industrial,110312497,0.026,998948,,8.57,,
CBRE,2021,Q,1,Boston,Metro West,Route 128 - West,Industrial,6707335,0.047,-2266,,,,
CBRE,2021,Q,1,Boston,Metro West,Framingham - Natick,Industrial,4691376,0.016,-28734,,10.43,,
CBRE,2021,Q,1,Boston,Metro West,Route 495-Route 2 West,Industrial,20152727,0.018,75470,,,,
CBRE,2021,Q,1,Boston,Metro West,Route 495 - Mass Pike West,Industrial,23230009,0.017,163663,,9.27,,
CBRE,2021,Q,1,Boston,Metro West,,Industrial,54781447,0.021,227699,,8.68,,
CBRE,2021,Q,1,Boston,Greater Boston,Overall Total Industrial,Industrial,266748152,0.025,1458668,,10.53,,
CBRE,2021,Q,1,Savannah,Savannah Market,,Overall,77228420,0.033,762012,8510808,5.39,,
CBRE,2021,Q,1,Silicon Valley Snapshot,San Jose Downtown/IBP,,Warehouse,4556655,0.085,138166,,1.1,,380129
CBRE,2021,Q,1,Silicon Valley Snapshot,San Jose - North,,Warehouse,5745431,0.048,81062,,1.15,,482229
CBRE,2021,Q,1,Silicon Valley Snapshot,Sun Jose - South,,Warehouse,6773118,0.053,39899,,1,,136411
CBRE,2021,Q,1,Silicon Valley Snapshot,Milpitas,,Warehouse,7084694,0.068,42970,,1.1,,287511
CBRE,2021,Q,1,Silicon Valley Snapshot,Santa Clara,,Warehouse,5057673,0.031,-38800,,1.25,,0
CBRE,2021,Q,1,Silicon Valley Snapshot,West Valley,,Warehouse,357222,0.317,0,,1.12,,0
CBRE,2021,Q,1,Silicon Valley Snapshot,Sunnyvale,,Warehouse,2449286,0.056,0,,1.35,,0
CBRE,2021,Q,1,Silicon Valley Snapshot,Mountain View/Los Altas,,Warehouse,156097,0.013,0,,1.35,,0
CBRE,2021,Q,1,Silicon Valley Snapshot,Palo Alto,,Warehouse,26620,0,0,,2.03,,0
CBRE,2021,Q,1,Silicon Valley Snapshot,Fremont/Newark,,Warehouse,16703331,0.029,382647,,1.1,,590308
CBRE,2021,Q,1,Silicon Valley Snapshot,Silicon Valley Warehouse Market,,Warehouse,48910127,0.049,645944,,1.12,,1876588
CBRE,2021,Q,2,Savannah,Savannah Market,,Overall,79163460,0.035,2679277,9137976,5.4,1935040,
CBRE,2021,Q,2,Tri Valley,Dublin,,Industrial,1316832,0.023,0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Dublin,,Warehouse,1266192,0.024,0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Dublin,,Manufacturing,50640,0,0,,0.95,,
CBRE,2021,Q,2,Tri Valley,Livermore,,Industrial,15168365,0.062,-33723,,0.91,,
CBRE,2021,Q,2,Tri Valley,Livermore,,Warehouse,12554839,0.07,-62052,,0.9,,
CBRE,2021,Q,2,Tri Valley,Livermore,,Manufacturing,2613526,0.025,28329,,0.95,,
CBRE,2021,Q,2,Tri Valley,Pleasanton,,Industrial,2114693,0.17,0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Pleasanton,,Warehouse,1921578,0.187,0,,0.9,,
CBRE,2021,Q,2,Tri Valley,Pleasanton,,Manufacturing,193115,0,0,,0.95,,
CBRE,2021,Q,2,Tri Valley,San Ramon,,Industrial,914449,0.041,-31748,,1.5,,
CBRE,2021,Q,2,Tri Valley,San Ramon,,Warehouse,914449,0.041,-31748,,1.5,,
CBRE,2021,Q,2,Tri Valley,San Ramon,,Manufacturing,0,0,0,,0,,
CBRE,2021,Q,2,Tri Valley,Tri-Valley Industrial Market,,Industrial,19514339,0.07,-65471,,0.94,,
CBRE,2021,Q,2,Tri Valley,Tri-Valley Industrial Market,,Warehouse,16657058,0.079,-93800,,0.94,,
CBRE,2021,Q,2,Tri Valley,Tri-Valley Industrial Market,,Manufacturing & Special,2857281,0.023,28329,,0.95,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Industrial,5647590,0.059,-146965,,1.36,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Warehouse Class A,3997831,0.07,-146965,,1.41,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Warehouse Class B,1642315,0.033,0,,1.23,,
CBRE,2021,Q,3,San Francisco Peninsula,Daly City/Brisbane,,Manufacturing,7444,0,0,,1.4,,
CBRE,2021,Q,3,San Francisco Peninsula,South San Francisco,,Industrial,15960560,0.061,136047,,1.37,,
CBRE,2021,Q,3,San Francisco Peninsula,South San Francisco,,Warehouse Class A,5661660,0.106,161067,,1.5,,
CBRE,2021,Q,3,San Francisco Peninsula,South San Francisco,,Warehouse Class B,9744244,0.038,-25020,,1.3,,
CBRE,2021,Q,3,San Francisco Peninsula,South San Francisco,,Manufacturing,554656,0,0,,1.4,,
CBRE,2021,Q,3,San Francisco Peninsula,San Bruno/Millbrae,,Industrial,479774,0.037,0,,1.23,,
CBRE,2021,Q,3,San Francisco Peninsula,San Bruno/Millbrae,,Warehouse Class B,479774,0.037,0,,1.23,,
CBRE,2021,Q,3,San Francisco Peninsula,Burlingame,,Industrial,4079953,0.051,79789,,1.47,,
CBRE,2021,Q,3,San Francisco Peninsula,Burlingame,,Warehouse Class A,1170335,0.005,0,,1.5,,
CBRE,2021,Q,3,San Francisco Peninsula,Burlingame,,Warehouse Class B,2482774,0.034,-12985,,1.46,,
CBRE,2021,Q,3,San Francisco Peninsula,Burlingame,,Manufacturing,426844,0.13,92774,,1.45,,
CBRE,2021,Q,3,San Francisco Peninsula,North County,,Industrial,26167877,0.056,68871,,1.38,,
CBRE,2021,Q,3,San Francisco Peninsula,San Mateo,,Industrial,605606,0.052,3060,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,San Mateo,,Warehouse Class B,312367,0.006,-1940,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,San Mateo,,Manufacturing,283239,0.093,5000,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Industrial,2927997,0.025,15535,,1.77,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Warehouse Class A,145000,0,23104,,1.85,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Warehouse Class B,1121142,0.024,-10000,,1.8,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Manufacturing,1661855,0.029,2431,,1.75,,
